dst,icd_long_title,n_drugs,total_admissions
icd:9:49392,"Asthma, unspecified type, with (acute) exacerbation",2,107
icd:9:5070,Pneumonitis due to inhalation of food or vomitus,3,312
icd:9:51881,Acute respiratory failure,4,72
icd:9:5363,Gastroparesis,1,11
icd:9:5409,Acute appendicitis without mention of peritonitis,2,492
icd:9:55321,Incisional hernia without mention of obstruction or gangrene,2,53
icd:9:5589,Other and unspecified noninfectious gastroenteritis and colitis,2,54
icd:9:56081,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),1,20
icd:9:5609,Unspecified intestinal obstruction,5,334
icd:9:56211,Diverticulitis of colon (without mention of hemorrhage),3,813
icd:9:5712,Alcoholic cirrhosis of liver,1,12
icd:9:5715,Cirrhosis of liver without mention of alcohol,2,20
icd:9:5722,Hepatic encephalopathy,2,45
icd:9:57400,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",2,134
icd:9:57450,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",1,11
icd:9:57451,"Calculus of bile duct without mention of cholecystitis, with obstruction",1,11
icd:9:5761,Cholangitis,3,49
icd:9:5762,Obstruction of bile duct,1,20
icd:9:5770,Acute pancreatitis,12,3749
icd:9:5771,Chronic pancreatitis,1,21
icd:9:5789,"Hemorrhage of gastrointestinal tract, unspecified",2,353
icd:9:5849,"Acute kidney failure, unspecified",17,4278
icd:9:59080,"Pyelonephritis, unspecified",1,10
icd:9:5920,Calculus of kidney,1,10
icd:9:5921,Calculus of ureter,2,22
icd:9:5990,"Urinary tract infection, site not specified",14,2746
icd:9:60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),1,65
icd:9:64511,"Post term pregnancy, delivered, with or without mention of antepartum condition",3,2120
icd:9:64891,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition",2,501
icd:9:64893,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication",1,21
icd:9:65421,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",3,2965
icd:9:65801,"Oligohydramnios, delivered, with or without mention of antepartum condition",1,10
icd:9:65811,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",2,239
icd:9:65961,"Elderly multigravida, delivered with or without mention of antepartum condition",1,10
icd:9:65971,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition",3,156
icd:9:66401,"First-degree perineal laceration, delivered, with or without mention of antepartum condition",2,271
icd:9:66411,"Second-degree perineal laceration, delivered, with or without mention of antepartum condition",2,1754
icd:9:6826,"Cellulitis and abscess of leg, except foot",4,1183
icd:9:71535,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",2,266
icd:9:71536,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",5,1942
icd:9:71596,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",2,171
icd:9:7213,Lumbosacral spondylosis without myelopathy,1,12
icd:9:72210,Displacement of lumbar intervertebral disc without myelopathy,3,646
icd:9:73313,Pathologic fracture of vertebrae,1,10
icd:9:7802,Syncope and collapse,5,1377
icd:9:78039,Other convulsions,2,85
icd:9:78060,"Fever, unspecified",1,194
icd:9:78650,"Chest pain, unspecified",2,129
icd:9:78659,Other chest pain,16,4452
icd:9:78701,Nausea with vomiting,2,113
icd:9:78900,"Abdominal pain, unspecified site",2,104
icd:9:78901,"Abdominal pain, right upper quadrant",2,53
icd:9:78906,"Abdominal pain, epigastric",2,40
icd:9:8054,Closed fracture of lumbar vertebra without mention of spinal cord injury,1,10
icd:9:82021,Closed fracture of intertrochanteric section of neck of femur,1,143
icd:9:85221,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1,71
icd:9:99664,Infection and inflammatory reaction due to indwelling urinary catheter,1,11
icd:9:99672,"Other complications due to other cardiac device, implant, and graft",1,10
icd:9:99674,"Other complications due to other vascular device, implant, and graft",1,11
icd:9:99681,Complications of transplanted kidney,1,33
icd:9:99682,Complications of transplanted liver,1,13
icd:9:99749,Other digestive system complications,1,10
icd:9:99811,Hemorrhage complicating a procedure,1,10
icd:9:99859,Other postoperative infection,5,1765
icd:9:V5811,Encounter for antineoplastic chemotherapy,26,8932
icd:9:V5812,Encounter for antineoplastic immunotherapy,5,468
