disease_id,disease_label,n_drugs
icd:10:I4891,Unspecified atrial fibrillation,1
icd:10:I5023,Acute on chronic systolic (congestive) heart failure,7
icd:10:I5033,Acute on chronic diastolic (congestive) heart failure,4
icd:10:I63412,Cerebral infarction due to embolism of left middle cerebral artery,2
icd:10:I639,"Cerebral infarction, unspecified",3
icd:10:I671,"Cerebral aneurysm, nonruptured",6
icd:10:I951,Orthostatic hypotension,1
icd:10:J189,"Pneumonia, unspecified organism",10
icd:10:J398,Other specified diseases of upper respiratory tract,3
icd:10:J441,Chronic obstructive pulmonary disease with (acute) exacerbation,8
icd:10:J45901,Unspecified asthma with (acute) exacerbation,1
icd:10:J690,Pneumonitis due to inhalation of food and vomit,2
icd:10:J9601,Acute respiratory failure with hypoxia,2
icd:10:K31811,Angiodysplasia of stomach and duodenum with bleeding,2
icd:10:K3184,Gastroparesis,7
icd:10:K3580,Unspecified acute appendicitis,1
icd:10:K5720,Diverticulitis of large intestine with perforation and abscess without bleeding,2
icd:10:K5732,Diverticulitis of large intestine without perforation or abscess without bleeding,1
icd:10:K7011,Alcoholic hepatitis with ascites,1
icd:10:K7031,Alcoholic cirrhosis of liver with ascites,8
icd:10:K7040,Alcoholic hepatic failure without coma,1
icd:10:K7290,"Hepatic failure, unspecified without coma",1
icd:10:K7469,Other cirrhosis of liver,1
icd:10:K831,Obstruction of bile duct,2
icd:10:K8520,Alcohol induced acute pancreatitis without necrosis or infection,7
icd:10:K8590,"Acute pancreatitis without necrosis or infection, unspecified",2
icd:10:K9189,Other postprocedural complications and disorders of digestive system,1
icd:10:K921,Melena,3
icd:10:K922,"Gastrointestinal hemorrhage, unspecified",1
icd:10:L03115,Cellulitis of right lower limb,1
icd:10:L03116,Cellulitis of left lower limb,1
icd:10:M1611,"Unilateral primary osteoarthritis, right hip",1
icd:10:M1612,"Unilateral primary osteoarthritis, left hip",1
icd:10:M1711,"Unilateral primary osteoarthritis, right knee",2
icd:10:M1712,"Unilateral primary osteoarthritis, left knee",4
icd:10:M4802,"Spinal stenosis, cervical region",1
icd:10:M48062,"Spinal stenosis, lumbar region with neurogenic claudication",1
icd:10:N132,Hydronephrosis with renal and ureteral calculous obstruction,1
icd:10:N179,"Acute kidney failure, unspecified",14
icd:10:N200,Calculus of kidney,1
icd:10:N390,"Urinary tract infection, site not specified",8
icd:10:N401,Benign prostatic hyperplasia with lower urinary tract symptoms,1
icd:10:O134,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth",2
icd:10:O34211,Maternal care for low transverse scar from previous cesarean delivery,3
icd:10:O4202,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture",2
icd:10:O480,Post-term pregnancy,2
icd:10:O701,Second degree perineal laceration during delivery,2
icd:10:O99824,Streptococcus B carrier state complicating childbirth,2
icd:10:R0789,Other chest pain,3
icd:10:R109,Unspecified abdominal pain,1
icd:10:R509,"Fever, unspecified",1
icd:10:R55,Syncope and collapse,2
icd:10:S065X0A,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",2
icd:10:S065X9A,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",2
icd:10:S72142A,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture",1
icd:10:T814XXA,"Infection following a procedure, initial encounter",1
icd:10:T82868A,"Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter",2
icd:10:U071,COVID-19,8
icd:10:Z432,Encounter for attention to ileostomy,1
icd:10:Z5111,Encounter for antineoplastic chemotherapy,32
icd:10:Z515,Encounter for palliative care,1
icd:10:Z516,Encounter for desensitization to allergens,4
icd:9:00845,Intestinal infection due to Clostridium difficile,3
icd:9:0088,"Intestinal infection due to other organism, not elsewhere classified",4
icd:9:03842,Septicemia due to escherichia coli [E. coli],2
icd:9:0389,Unspecified septicemia,11
icd:9:042,Human immunodeficiency virus [HIV] disease,2
icd:9:1890,"Malignant neoplasm of kidney, except pelvis",1
icd:9:1983,Secondary malignant neoplasm of brain and spinal cord,5
icd:9:2189,"Leiomyoma of uterus, unspecified",1
icd:9:25013,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",2
icd:9:25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",6
icd:9:25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",2
icd:9:25063,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",4
icd:9:25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",1
icd:9:25541,Glucocorticoid deficiency,1
icd:9:2761,Hyposmolality and/or hyponatremia,1
icd:9:27651,Dehydration,1
icd:9:27801,Morbid obesity,2
icd:9:2798,Other specified disorders involving the immune mechanism,4
icd:9:28800,"Neutropenia, unspecified",1
icd:9:29181,Alcohol withdrawal,7
icd:9:29633,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",1
icd:9:29690,Unspecified episodic mood disorder,1
icd:9:34590,"Epilepsy, unspecified, without mention of intractable epilepsy",3
icd:9:40301,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",5
icd:9:40391,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",1
icd:9:41071,"Subendocardial infarction, initial episode of care",11
icd:9:41401,Coronary atherosclerosis of native coronary artery,17
icd:9:41519,Other pulmonary embolism and infarction,4
icd:9:4240,Mitral valve disorders,3
icd:9:4241,Aortic valve disorders,8
icd:9:4271,Paroxysmal ventricular tachycardia,3
icd:9:42731,Atrial fibrillation,13
icd:9:42732,Atrial flutter,2
icd:9:42781,Sinoatrial node dysfunction,1
icd:9:42789,Other specified cardiac dysrhythmias,1
icd:9:4280,"Congestive heart failure, unspecified",2
icd:9:42823,Acute on chronic systolic heart failure,16
icd:9:42833,Acute on chronic diastolic heart failure,18
icd:9:42843,Acute on chronic combined systolic and diastolic heart failure,3
icd:9:431,Intracerebral hemorrhage,6
icd:9:43310,Occlusion and stenosis of carotid artery without mention of cerebral infarction,1
icd:9:43411,Cerebral embolism with cerebral infarction,5
icd:9:43491,"Cerebral artery occlusion, unspecified with cerebral infarction",5
icd:9:4359,Unspecified transient cerebral ischemia,2
icd:9:4373,"Cerebral aneurysm, nonruptured",5
icd:9:44021,Atherosclerosis of native arteries of the extremities with intermittent claudication,3
icd:9:44024,Atherosclerosis of native arteries of the extremities with gangrene,2
icd:9:45341,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,2
icd:9:4580,Orthostatic hypotension,1
icd:9:4829,"Bacterial pneumonia, unspecified",1
icd:9:486,"Pneumonia, organism unspecified",17
icd:9:49121,Obstructive chronic bronchitis with (acute) exacerbation,10
icd:9:49322,Chronic obstructive asthma with (acute) exacerbation,6
icd:9:49392,"Asthma, unspecified type, with (acute) exacerbation",2
icd:9:5070,Pneumonitis due to inhalation of food or vomitus,3
icd:9:51881,Acute respiratory failure,4
icd:9:5363,Gastroparesis,1
icd:9:5409,Acute appendicitis without mention of peritonitis,2
icd:9:55321,Incisional hernia without mention of obstruction or gangrene,2
icd:9:5589,Other and unspecified noninfectious gastroenteritis and colitis,2
icd:9:56081,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),1
icd:9:5609,Unspecified intestinal obstruction,5
icd:9:56211,Diverticulitis of colon (without mention of hemorrhage),3
icd:9:5712,Alcoholic cirrhosis of liver,1
icd:9:5715,Cirrhosis of liver without mention of alcohol,2
icd:9:5722,Hepatic encephalopathy,2
icd:9:57400,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",2
icd:9:57450,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",1
icd:9:57451,"Calculus of bile duct without mention of cholecystitis, with obstruction",1
icd:9:5761,Cholangitis,3
icd:9:5762,Obstruction of bile duct,1
icd:9:5770,Acute pancreatitis,12
icd:9:5771,Chronic pancreatitis,1
icd:9:5789,"Hemorrhage of gastrointestinal tract, unspecified",2
icd:9:5849,"Acute kidney failure, unspecified",17
icd:9:59080,"Pyelonephritis, unspecified",1
icd:9:5920,Calculus of kidney,1
icd:9:5921,Calculus of ureter,2
icd:9:5990,"Urinary tract infection, site not specified",14
icd:9:60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),1
icd:9:64511,"Post term pregnancy, delivered, with or without mention of antepartum condition",3
icd:9:64891,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition",2
icd:9:64893,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication",1
icd:9:65421,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",3
icd:9:65801,"Oligohydramnios, delivered, with or without mention of antepartum condition",1
icd:9:65811,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",2
icd:9:65961,"Elderly multigravida, delivered with or without mention of antepartum condition",1
icd:9:65971,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition",3
icd:9:66401,"First-degree perineal laceration, delivered, with or without mention of antepartum condition",2
icd:9:66411,"Second-degree perineal laceration, delivered, with or without mention of antepartum condition",2
icd:9:6826,"Cellulitis and abscess of leg, except foot",4
icd:9:71535,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",2
icd:9:71536,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",5
icd:9:71596,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",2
icd:9:7213,Lumbosacral spondylosis without myelopathy,1
icd:9:72210,Displacement of lumbar intervertebral disc without myelopathy,3
icd:9:73313,Pathologic fracture of vertebrae,1
icd:9:7802,Syncope and collapse,5
icd:9:78039,Other convulsions,2
icd:9:78060,"Fever, unspecified",1
icd:9:78650,"Chest pain, unspecified",2
icd:9:78659,Other chest pain,16
icd:9:78701,Nausea with vomiting,2
icd:9:78900,"Abdominal pain, unspecified site",2
icd:9:78901,"Abdominal pain, right upper quadrant",2
icd:9:78906,"Abdominal pain, epigastric",2
icd:9:8054,Closed fracture of lumbar vertebra without mention of spinal cord injury,1
icd:9:82021,Closed fracture of intertrochanteric section of neck of femur,1
icd:9:85221,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1
icd:9:99664,Infection and inflammatory reaction due to indwelling urinary catheter,1
icd:9:99672,"Other complications due to other cardiac device, implant, and graft",1
icd:9:99674,"Other complications due to other vascular device, implant, and graft",1
icd:9:99681,Complications of transplanted kidney,1
icd:9:99682,Complications of transplanted liver,1
icd:9:99749,Other digestive system complications,1
icd:9:99811,Hemorrhage complicating a procedure,1
icd:9:99859,Other postoperative infection,5
icd:9:V5811,Encounter for antineoplastic chemotherapy,26
icd:9:V5812,Encounter for antineoplastic immunotherapy,5
