node_u,node_v,relation,pmid_count,total_articles,pmids,chem_ids
metformin,@DISEASE_Infertility,treat,10,114,33121403|33532657|34488286|35098011|35846327|35935880|36990765|37753037|37791160|39847839,@CHEMICAL_Metformin
metformin,@DISEASE_Myocardial_Infarction,treat,10,139,32501595|32702900|33231125|33234131|34625572|35950214|36564851|37031594|38196460|40466424,@CHEMICAL_Metformin
metformin,@DISEASE_Hirsutism,treat,10,100,32794179|32845585|32983332|33324861|33683076|35815185|36299963|37583655|39331347|40781685,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetic_Nephropathies,treat,10,109,32545901|33321755|34381133|35186553|36313954|36628027|37240387|37685845|37723077|37724537,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperandrogenism,treat,10,106,32067218|32866967|34752810|34787028|34830216|34983571|36176868|36299963|36763111|38131036,@CHEMICAL_Metformin
metformin,@DISEASE_Neurodegenerative_Diseases,treat,10,99,32719079|33716063|34510763|34671273|35557834|36484892|37093496|38139841|39201569|40283923,@CHEMICAL_Metformin
metformin,@DISEASE_Mitochondrial_Diseases,treat,10,141,31225649|32131023|32248666|32276645|32310829|37348156|38229533|39978587|40023376|40570636,@CHEMICAL_Metformin
metformin,@DISEASE_Renal_Insufficiency_Chronic,treat,10,148,30145030|32097995|32138474|32622455|33126975|33811249|35186553|35461613|36313954|39483503,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinogenesis,treat,10,107,31963541|32664279|33916777|34398301|35322049|36356901|36701104|37030634|37154478|39350724,@CHEMICAL_Metformin
metformin,@DISEASE_Hypoxia,treat,10,115,30451115|32887267|33039412|34220516|34769067|35705953|36046821|37385610|39186177|40364612,@CHEMICAL_Metformin
metformin,@DISEASE_Heart_Diseases,treat,10,105,31669973|32974359|33746115|34293503|34527070|34544550|35935389|37031594|37106782|40368398,@CHEMICAL_Metformin
metformin,@DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions,treat,11,272,21595121|32048185|32438158|32738838|34399790|34557403|35833410|36159225|36339411|37131014|37570437,@CHEMICAL_Metformin|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Stroke,treat,10,110,32601121|32702900|33811249|33915857|35465053|35800435|36408248|36841981|36933522|37051071,@CHEMICAL_Metformin
metformin,@DISEASE_Reperfusion_Injury,treat,10,81,31944526|32792857|33614629|33858654|34396450|36322187|37031594|37253410|37631036|38317565,@CHEMICAL_Metformin
metformin,@DISEASE_Dyslipidemias,treat,10,100,32327628|32982345|33133865|33439743|34335266|34825068|35996967|36176868|37417539|40834569,@CHEMICAL_Metformin
metformin,@DISEASE_Stomach_Neoplasms,treat,10,85,32033451|32547075|32717852|33223758|33760349|34158423|34335983|34356646|36210441|37600406,@CHEMICAL_Metformin
metformin,@DISEASE_Osteoporosis,treat,10,80,32905803|33062529|34523850|35497918|35855344|35869471|35928902|37904346|38536446|40261556,@CHEMICAL_Metformin
metformin,@DISEASE_Ischemia,treat,10,78,31815318|32621957|32750367|33019635|33746115|34527070|35431970|37288723|38467276|40304545,@CHEMICAL_Metformin
metformin,@DISEASE_Pre_Eclampsia,treat,10,87,32052203|33381040|34482529|34551918|35130922|36329468|37409227|37971596|39351873|40852348,@CHEMICAL_Metformin
metformin,@DISEASE_Liver_Failure,treat,10,107,33439105|33968030|34496884|35156512|35191819|35829734|36147344|39226180|40339494|40341113,@CHEMICAL_Metformin
metformin,@DISEASE_Depressive_Disorder,treat,10,92,32900343|33064895|33114529|33715080|35856136|36108876|36185927|38157715|38286229|39894309,@CHEMICAL_Metformin
metformin,@DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck,treat,10,73,33149616|33652909|34335751|35222283|35399730|36077722|36509195|37738154|39748725|39827973,@CHEMICAL_Metformin
metformin,@DISEASE_Abortion_Spontaneous,treat,10,75,32396212|33849126|34127011|34444016|36058943|36916886|37409227|40441707|40473092|40754172,@CHEMICAL_Metformin
metformin,@DISEASE_Dementia,treat,10,76,34857046|35337110|35601622|35847477|36186728|37240908|37878309|37940646|38001936|40648562,@CHEMICAL_Metformin
metformin,@DISEASE_Glioblastoma,treat,10,68,32887267|33212778|33372258|35008275|35135603|35796457|35897747|36077758|36765551|37278858,@CHEMICAL_Metformin
metformin,@DISEASE_Melanoma,treat,10,66,32425881|32781368|32980534|33729072|33749049|34386644|34506671|34880915|36689538|37397389,@CHEMICAL_Metformin
metformin,@DISEASE_Osteoarthritis,treat,10,68,33668426|33808727|34440221|34879473|35693701|36230974|36535678|36836794|36939700|40999118,@CHEMICAL_Metformin
metformin,@DISEASE_Vascular_Diseases,treat,10,82,32457625|32825027|33162888|33375185|34646376|35909294|36359302|37759984|39742025|40409583,@CHEMICAL_Metformin
metformin,@DISEASE_Chemical_and_Drug_Induced_Liver_Injury,treat,10,89,31786336|31791444|33953643|35191819|36737598|37309348|37883349|37907013|38192642|38299294,@CHEMICAL_Metformin
metformin,@DISEASE_Acne_Vulgaris,treat,10,59,32158247|33048332|33847400|34268040|35645675|36176868|36641775|36656771|36678524|38078688,@CHEMICAL_Metformin
metformin,@DISEASE_Liver_Diseases,treat,10,78,31960986|32425881|35419709|37664227|38049180|38192642|38299294|40120569|40466424|40560437,@CHEMICAL_Metformin
metformin,@DISEASE_Nerve_Degeneration,treat,10,65,32625061|33650828|33915857|34162765|34561980|34836498|34911449|35557834|35716551|40760214,@CHEMICAL_Metformin
metformin,@DISEASE_Neuroinflammatory_Diseases,treat,10,64,34023358|34510763|34948457|35115909|35572534|35709590|36319785|36723832|37737447|38012545,@CHEMICAL_Metformin
metformin,@DISEASE_Tuberculosis,treat,10,62,32274183|32743005|33004826|34563159|35737799|35813707|36355885|36474458|38296396|40351311,@CHEMICAL_Metformin
metformin,@DISEASE_Parkinson_Disease,treat,10,65,31843673|32497590|32595595|32719079|33024014|35008822|35631532|37266747|40465067|40760214,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetes_Complications,treat,10,59,32168855|32347398|32982345|33468193|35529809|36500596|36531446|37111681|37842429|39192867,@CHEMICAL_Metformin
metformin,@DISEASE_Pain,treat,10,65,32087740|33808727|34719004|35538143|35690654|36117320|37629665|38287855|40532227|40609734,@CHEMICAL_Metformin
metformin,@DISEASE_Coronary_Artery_Disease,treat,10,53,31636172|33002553|35282660|36254086|37239987|37554894|37734206|39201292|40033492|40475712,@CHEMICAL_Metformin
metformin,@DISEASE_Triple_Negative_Breast_Neoplasms,treat,10,57,31570268|32546966|32940848|33854147|35267651|36482884|37008735|37632970|38459750|40430851,@CHEMICAL_Metformin
metformin,@DISEASE_Bone_Diseases,treat,10,57,32841254|33437764|33971745|35027504|35887957|36284303|36297386|36398019|36555544|37222255,@CHEMICAL_Metformin
metformin,@DISEASE_Endometrial_Hyperplasia,treat,10,51,32096892|32376736|32652300|33773565|35846327|35875417|36333773|37082665|37415671|40626388,@CHEMICAL_Metformin
metformin,@DISEASE_Ovarian_Diseases,treat,10,52,31597663|32399705|32498930|32874990|33065544|33081077|33315987|33495007|38484380|39742935,@CHEMICAL_Metformin
metformin,@DISEASE_Schizophrenia,treat,10,54,32141403|32327628|32581680|32588080|34658963|36816406|37502816|37668313|37821461|40649798,@CHEMICAL_Metformin
metformin,@DISEASE_Infarction,treat,10,54,33359222|33746115|33811249|33845479|33915857|36408248|36611122|36644057|37031594|37196121,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinoma_Pancreatic_Ductal,treat,10,48,31685560|31892563|32157435|32367394|32580502|32737864|32829010|33042621|37293149|39840695,@CHEMICAL_Metformin
metformin,@DISEASE_Urinary_Bladder_Neoplasms,treat,10,50,32568826|32798360|33322565|34660791|35462910|35783012|36397350|36455340|37764495|40319155,@CHEMICAL_Metformin
metformin,@DISEASE_Ovarian_Hyperstimulation_Syndrome,treat,10,49,32744629|33347618|33709434|34590929|36285403|37409227|37528417|37753037|39485003|39702393,@CHEMICAL_Metformin
metformin,@DISEASE_Aortic_Aneurysm_Abdominal,treat,10,45,31727461|33516615|33826959|33836975|34617056|34961561|35677692|36083182|36777816|37649472,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinoma_Renal_Cell,treat,10,41,33714781|33915432|34054309|34548861|35592685|35872697|35885994|37883777|38035560|40792151,@CHEMICAL_Metformin
metformin,@DISEASE_Glioma,treat,10,45,31952173|32880467|34069550|36077758|37025487|37484272|38264527|39521788|40023279|40436336,@CHEMICAL_Metformin
metformin,@DISEASE_Memory_Disorders,treat,10,52,32333835|34100420|34283253|34337723|36281624|36751729|36979171|37759689|38568468|38582410,@CHEMICAL_Metformin
metformin,@DISEASE_Mental_Disorders,treat,10,48,32766607|34009711|35222739|35275454|36058489|36183318|36191545|36751729|39676223|40531218,@CHEMICAL_Metformin
metformin,@DISEASE_Neoplasms_Adipose_Tissue,treat,10,49,31445961|32441464|32951009|34360870|34383179|34495393|35204677|35664477|35817957|35887957,@CHEMICAL_Metformin
metformin,@DISEASE_Brain_Ischemia,treat,10,44,31944526|32693150|33234131|33915857|35092978|35800435|37031594|39240424|40190675|40304545,@CHEMICAL_Metformin
metformin,@DISEASE_Infections,treat,10,51,32596101|33232684|34367059|34664036|35077701|35455439|36560871|37891260|38417132|39772244,@CHEMICAL_Metformin
metformin,@DISEASE_Anovulation,treat,10,43,11783382|15535111|15817918|17515889|21605417|26906091|26906093|28143834|32335799|35814214,@CHEMICAL_Metformin
metformin,@DISEASE_Cardiotoxicity,treat,10,39,31735071|34681615|35141304|36790727|37550350|37933643|37969641|37969650|39405911|40524049,@CHEMICAL_Metformin
metformin,@DISEASE_Macular_Degeneration,treat,10,41,33475696|33846958|34414094|35972434|36484633|36547967|37259372|38074151|38284098|40965862,@CHEMICAL_Metformin
metformin,@DISEASE_Thyroid_Neoplasms,treat,10,40,32021253|32791889|35454163|35870256|35901016|36873273|37773165|37864896|37957487|39795891,@CHEMICAL_Metformin
metformin,@DISEASE_Uterine_Cervical_Neoplasms,treat,10,40,31864213|32631421|33236135|34067321|34572837|36037303|36604960|36694282|37371530|37679230,@CHEMICAL_Metformin
metformin,@DISEASE_Sepsis,treat,10,50,32779431|33855034|34911449|35156512|35191819|35571566|35572534|35629125|36444165|36968119,@CHEMICAL_Metformin
metformin,@DISEASE_HIV_Infections,treat,10,38,10904511|11485138|15090799|31731885|33019813|37218815|37247620|37397787|37460828|40468972,@CHEMICAL_Metformin
metformin,@DISEASE_Liver_Cirrhosis,treat,10,39,34198358|35093389|35344814|36031141|36474458|36696857|36716817|36893671|37451514|38288020,@CHEMICAL_Metformin
metformin,@DISEASE_Cardiomyopathies,treat,10,37,32404204|32470468|33359222|34502314|35306537|35431970|36790727|37499052|38291374|39428241,@CHEMICAL_Metformin
metformin,@DISEASE_Hypothyroidism,treat,10,47,33058005|33728216|34964193|35354137|36404819|37765120|37907510|38051473|39204438|40872540,@CHEMICAL_Metformin
metformin,@DISEASE_Neurologic_Manifestations,treat,10,50,33148885|34256673|35123869|35419709|35557834|35955427|36117612|37402952|37862207|39766286,@CHEMICAL_Metformin
metformin,@DISEASE_Fatty_Liver_Alcoholic,treat,10,36,11567710|11830232|14987322|32278041|32758573|34977520|35991764|36551216|37103096|37652508,@CHEMICAL_Metformin
metformin,@DISEASE_Brain_Injuries,treat,10,32,31751298|32750367|32779431|32990500|33845479|35341746|37047198|37190610|37354076|40850908,@CHEMICAL_Metformin
metformin,@DISEASE_Coronary_Disease,treat,10,41,10516414|29786570|31778746|32342619|35059270|35112779|37223024|7601626|8708595|8772621,@CHEMICAL_Metformin
metformin,@DISEASE_Fractures_Bone,treat,10,43,33141149|33495007|33505595|33797562|34931295|37417730|37587136|38536446|40378961|40614250,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperlipidemias,treat,10,39,34168429|35199116|35910506|35947843|37094549|37110159|37646067|39742025|39871590|9888646,@CHEMICAL_Metformin
metformin,@DISEASE_Multiple_Myeloma,treat,10,35,32715434|33531904|33747367|34336033|34768861|34890968|35427214|36428730|37325933|37364455,@CHEMICAL_Metformin
metformin,@DISEASE_Renal_Insufficiency,treat,10,103,32364526|33290248|33562458|34437006|35186553|35274817|35831909|37424987|37948503|39552144,@CHEMICAL_Metformin
metformin,@DISEASE_Wounds_and_Injuries,treat,10,34,32376475|33169942|33355497|34332919|34530523|35431946|36765018|37115368|38322576|38364759,@CHEMICAL_Metformin
metformin,@DISEASE_Cerebral_Infarction,treat,10,43,33716063|35863262|36611122|36644057|37282373|37291921|38043334|38604350|39604047|40489027,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperalgesia,treat,10,34,30801357|32490289|34421611|34555415|34850313|36076556|37216004|37924435|38101167|39682734,@CHEMICAL_Metformin
metformin,@DISEASE_Polycystic_Kidney_Autosomal_Dominant,treat,10,32,33768205|34391872|34420660|34588803|34806449|35852784|36660586|37675342|40352866|41020837,@CHEMICAL_Metformin
metformin,@DISEASE_Acanthosis_Nigricans,treat,10,35,32276996|32447791|32845585|33255783|33728347|35569426|35673756|36921584|38044655|40826852,@CHEMICAL_Metformin
metformin,@DISEASE_Embolism_Fat,treat,10,35,31730174|33599105|34481828|35594738|35684088|36196729|37100305|37529015|38075252|39845516,@CHEMICAL_Metformin
metformin,@DISEASE_Adenocarcinoma,treat,10,29,22950385|25340116|31699708|31815765|32998939|33621192|35414608|35936716|37240387|37835462,@CHEMICAL_Metformin
metformin,@DISEASE_Anxiety,treat,10,38,32346286|32621100|33178015|33913928|34129880|35339829|37798418|38148478|39833961|40415296,@CHEMICAL_Metformin
metformin,@DISEASE_Asthma,treat,10,35,32831980|33637087|34293503|35574481|35805869|37056543|37298498|37772681|39465742|40398255,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetic_Cardiomyopathies,treat,10,32,32508669|33389430|33397369|34102283|34231706|34775284|35204314|36361807|36582738|40282226,@CHEMICAL_Metformin
metformin,@DISEASE_Head_and_Neck_Neoplasms,treat,10,31,31942181|32067604|34230113|35327549|35645803|36547172|37602474|37834839|39463147|40028423,@CHEMICAL_Metformin
metformin,@DISEASE_Periodontitis,treat,10,30,32305805|32480011|32841254|32958790|34862928|35096812|35786379|37223504|37275952|39828624,@CHEMICAL_Metformin
metformin,@DISEASE_Adenoma,treat,10,29,31818523|32592092|33838541|34749618|35022906|35878711|36688306|37667332|37987968|40353629,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetic_Retinopathy,treat,10,31,32377525|32572457|33203090|34096218|35068220|35684409|35802672|37816862|38408173|39891223,@CHEMICAL_Metformin
metformin,@DISEASE_Neuralgia,treat,10,30,32362607|32384961|34326272|34555415|35131865|35278160|36117320|37216004|38101167|38287855,@CHEMICAL_Metformin
metformin,@DISEASE_Pulmonary_Disease_Chronic_Obstructive,treat,10,30,32581289|33208304|33267895|33407433|33926423|34033525|35082306|35512853|35900801|36071848,@CHEMICAL_Metformin
metformin,@DISEASE_Seizures,treat,10,34,32382676|32652135|32785826|33290383|36116284|36833359|37175220|37737447|38369428|40928653,@CHEMICAL_Metformin
metformin,@DISEASE_Cholangiocarcinoma,treat,10,27,33218924|33330044|33380657|33626532|34069550|34745255|36708293|38170336|38299294|39309781,@CHEMICAL_Metformin
metformin,@DISEASE_Disease,treat,10,30,32903813|33798839|34396450|35379238|35890085|36147352|36217796|37387358|39309781|39446178,@CHEMICAL_Metformin
metformin,@DISEASE_Esophageal_Squamous_Cell_Carcinoma,treat,10,28,24886082|31821177|32274150|32646922|33485367|33603170|34881181|35036355|35134807|35738180,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperprolactinemia,treat,10,27,31234219|32243999|34658963|35721320|37623862|39204081|39319339|40253894|40874358|40961367,@CHEMICAL_Metformin
metformin,@DISEASE_Malformations_of_Cortical_Development_Group_I,treat,10,27,32209321|32368014|33355497|34453902|36050544|36116284|36439719|36765018|36999607|37750221,@CHEMICAL_Metformin
metformin,@DISEASE_Paroxysmal_ventricular_fibrillation,treat,10,27,16501038|21606132|24290658|28244019|33242676|33359222|33896015|34590929|35725534|40441707,@CHEMICAL_Metformin
metformin,@DISEASE_Ventricular_Remodeling,treat,10,32,31969144|32386485|32742327|34539827|34662551|34944478|36614028|37816240|39253815|40865704,@CHEMICAL_Metformin
metformin,@DISEASE_Epilepsy,treat,10,26,32652135|32679167|34069559|36116284|36833359|37175220|37737447|38010498|40042558|40928653,@CHEMICAL_Metformin
metformin,@DISEASE_Glucose_Metabolism_Disorders,treat,10,29,20155995|21564529|28335557|30034573|31313243|32017477|33759685|35153733|37210012|39735640,@CHEMICAL_Metformin
metformin,@DISEASE_Leukemia,treat,10,31,31926250|32158929|32460059|33193076|33747367|34659562|35079096|37364455|38089917|39585587,@CHEMICAL_Metformin
metformin,@DISEASE_Myocardial_Ischemia,treat,10,30,18080084|23423523|27074768|29165830|33019635|33232283|34621312|37631036|40096893|40306606,@CHEMICAL_Metformin
metformin,@DISEASE_Psoriasis,treat,10,26,32194991|32845585|33808460|34884312|35266419|35492738|35569426|35910506|37820943|38028405,@CHEMICAL_Metformin
metformin,@DISEASE_Acute_Kidney_Injury,treat,10,153,33319836|33380123|34837633|34956761|35370738|35753751|36159225|37427902|37715272|37848438,@CHEMICAL_Metformin
metformin,@DISEASE_Arthritis_Rheumatoid,treat,10,26,32208872|32276645|32828146|32899806|33437764|34630103|34879473|37048545|37964313|38090362,@CHEMICAL_Metformin
metformin,@DISEASE_Chronic_Disease,treat,10,27,32068434|32902818|33561890|33562458|33584319|33765548|35064693|35455439|36552855|38078688,@CHEMICAL_Metformin
metformin,@DISEASE_Lung_Diseases,treat,10,33,33004826|33200330|34033525|34209135|34434111|35093884|35440331|36007338|36688306|37501618,@CHEMICAL_Metformin
metformin,@DISEASE_Congenital_Hyperinsulinism,treat,10,26,10656228|11783382|12192894|15053248|16647909|20357370|21475454|21735693|34845738|7996443,@CHEMICAL_Metformin
metformin,@DISEASE_Fetal_Macrosomia,treat,10,28,30458653|31558075|34495393|34569082|34957166|35275091|36381747|37354354|37842989|39455749,@CHEMICAL_Metformin
metformin,@DISEASE_Lupus_Erythematosus_Systemic,treat,10,25,31904843|33093216|34386197|34403367|34619975|34874833|34879473|38268156|40028423|40659125,@CHEMICAL_Metformin
metformin,@DISEASE_Virilism,treat,10,25,17299064|17984247|20357370|21421541|21575951|21865363|21899727|27684440|37347114|40711960,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinoma_Squamous_Cell,treat,10,24,32083006|33047438|33262518|33278671|33610593|35405370|35569426|37669776|39630677|40901390,@CHEMICAL_Metformin
metformin,@DISEASE_Hidradenitis_Suppurativa,treat,10,24,30893570|32845585|33346525|37026880|37108132|37325287|37648653|37972134|38078688|39746651,@CHEMICAL_Metformin
metformin,@DISEASE_Hypertension_Pulmonary,treat,10,23,32268788|32845776|32966132|32974359|33093887|33200330|34169079|36120288|36914083|37389952,@CHEMICAL_Metformin
metformin,@DISEASE_Hypertrophy,treat,10,27,31711850|32386485|32462317|32556103|34384564|34539827|34775284|35326230|35492586|36088302,@CHEMICAL_Metformin
metformin,@DISEASE_Multiple_Sclerosis,treat,10,23,32825027|33184094|33650828|34323699|35132603|35583058|37397787|37442896|37904733|40283923,@CHEMICAL_Metformin
metformin,@DISEASE_Necrosis,treat,10,45,31786336|32045366|32781368|32945857|35427214|35737799|36873273|37541178|38467276|40344214,@CHEMICAL_Metformin
metformin,@DISEASE_Premature_Birth,treat,10,38,32396212|34571574|34957166|34987051|35834091|36916886|37401946|37409227|37753037|39236318,@CHEMICAL_Metformin
