src,dst,relation,weight_admissions,unique_patients,p_disease_given_drug,p_drug_given_disease
drug:warfarin,icd:10:I130,treat,645,419,0.02232606438213915,0.19468759432538485
drug:warfarin,icd:9:25070,treat,30,29,0.0010384215991692627,0.12931034482758622
drug:warfarin,icd:10:A419,treat,249,225,0.00861889927310488,0.04887144259077527
drug:warfarin,icd:9:78659,treat,268,230,0.00927656628591208,0.051419800460475826
drug:warfarin,icd:9:4659,treat,25,25,0.00086535133264105228,0.063451776649746189
drug:warfarin,icd:10:R791,treat,94,74,0.0032537210107303565,0.78333333333333333
drug:warfarin,icd:9:45341,treat,270,260,0.0093457943925233638,0.55670103092783507
drug:warfarin,icd:9:43411,treat,277,270,0.009588092765662859,0.23899913718723037
drug:warfarin,icd:9:4271,treat,156,120,0.0053997923156801665,0.25742574257425743
drug:warfarin,icd:9:42833,treat,694,477,0.024022152994115611,0.30572687224669604
drug:amlodipine,icd:10:T80211A,treat,36,30,0.0008682858590000241,0.0967741935483871
drug:amlodipine,icd:9:43411,treat,62,61,0.0014953812016111527,0.053494391716997408
drug:amlodipine,icd:10:C250,treat,37,33,0.00089240491063891363,0.083710407239819
drug:amlodipine,icd:10:I2510,treat,222,217,0.005354429463833482,0.14979757085020243
drug:amlodipine,icd:10:I110,treat,372,323,0.0089722872096669164,0.15128100854005694
drug:amlodipine,icd:9:5781,treat,39,39,0.00094064301391669279,0.06280193236714976
drug:atenolol,icd:9:99811,treat,23,23,0.0015125608312508221,0.035330261136712747
drug:atenolol,icd:9:5761,treat,30,25,0.0019729054320662895,0.043041606886657105
drug:atenolol,icd:9:1830,treat,19,13,0.0012495067736419834,0.073359073359073365
drug:atenolol,icd:9:4010,treat,24,24,0.0015783243456530317,0.15894039735099338
drug:atenolol,icd:9:42789,treat,38,38,0.0024990135472839669,0.038657171922685654
drug:atenolol,icd:10:I340,treat,10,10,0.0006576351440220965,0.02159827213822894
drug:furosemide,icd:9:4280,treat,334,317,0.0048176782829448418,0.6958333333333333
drug:furosemide,icd:9:5119,treat,158,146,0.0022790214631894759,0.36073059360730592
drug:furosemide,icd:10:K8050,treat,25,25,0.000360604661897069,0.0946969696969697
drug:furosemide,icd:9:4241,treat,1052,972,0.015174244172628663,0.645003065603924
drug:furosemide,icd:10:I110,treat,2173,1695,0.031343757212093239,0.88369255795038637
drug:furosemide,icd:9:1570,treat,17,17,0.00024521117009000692,0.039260969976905313
drug:furosemide,icd:10:K91840,treat,18,17,0.00025963535656588969,0.054878048780487805
drug:furosemide,icd:9:33819,treat,21,21,0.00030290791599353796,0.070469798657718116
drug:furosemide,icd:9:7802,treat,155,151,0.002235748903761828,0.0586232980332829
drug:furosemide,icd:9:42833,treat,2022,1376,0.02916570505423494,0.89074889867841411
drug:furosemide,icd:9:80502,treat,34,34,0.00049042234018001384,0.13026819923371646
drug:furosemide,icd:9:486,treat,671,623,0.0096786291253173323,0.1800858829844337
drug:levofloxacin,icd:9:99664,treat,19,19,0.0013217391304347827,0.048223350253807105
drug:levofloxacin,icd:9:42823,treat,123,110,0.0085565217391304349,0.064095883272537776
drug:levofloxacin,icd:9:20300,treat,17,16,0.0011826086956521738,0.054140127388535034
drug:lisinopril,icd:10:I130,treat,408,328,0.0083752437647541828,0.12315122245698762
drug:lisinopril,icd:10:I25119,treat,107,105,0.0021964487324232784,0.17863105175292154
drug:lisinopril,icd:9:8072,treat,10,10,0.00020527558246946525,0.14285714285714285
drug:lisinopril,icd:10:C259,treat,11,11,0.00022580314071641178,0.08943089430894309
drug:lisinopril,icd:10:I442,treat,101,101,0.002073283382941599,0.19573643410852712
drug:lisinopril,icd:9:5921,treat,28,28,0.00057477163091450268,0.053333333333333337
drug:lisinopril,icd:9:03811,treat,12,12,0.00024633069896335828,0.048979591836734691
drug:lisinopril,icd:9:5770,treat,296,217,0.0060761572410961712,0.11297709923664122
drug:lisinopril,icd:9:1625,treat,29,29,0.00059529918916144929,0.1111111111111111
drug:lisinopril,icd:10:I671,treat,205,171,0.0042081494406240377,0.185856754306437
drug:lisinopril,icd:9:41401,treat,1068,980,0.021923432207738888,0.18570683359415754
drug:lisinopril,icd:10:C786,treat,17,17,0.00034896849019809095,0.047091412742382273
drug:lisinopril,icd:10:T8149XA,treat,18,17,0.00036949604844503745,0.10843373493975904
drug:lisinopril,icd:10:J189,treat,240,233,0.0049266139792671663,0.11336797354747284
drug:lisinopril,icd:9:44031,treat,34,29,0.0006979369803961819,0.17171717171717171
drug:omeprazole,icd:9:5849,treat,658,592,0.008992019241281294,0.18629671574178935
drug:omeprazole,icd:9:44101,treat,17,16,0.00023231660653766261,0.11038961038961038
drug:omeprazole,icd:9:78659,treat,585,533,0.0079944244014430958,0.11224098234842671
drug:omeprazole,icd:9:5693,treat,34,34,0.00046463321307532523,0.095238095238095233
drug:omeprazole,icd:9:42731,treat,614,534,0.008390729200830874,0.19870550161812298
drug:omeprazole,icd:9:7862,treat,29,29,0.00039630479938777743,0.17575757575757575
drug:omeprazole,icd:9:7211,treat,43,42,0.00058762435771291129,0.13230769230769232
drug:omeprazole,icd:9:42613,treat,17,17,0.00023231660653766261,0.15315315315315314
drug:omeprazole,icd:10:T82868A,treat,100,89,0.0013665682737509567,0.14947683109118087
drug:omeprazole,icd:9:7802,treat,311,292,0.004250027331365475,0.11762481089258699
drug:omeprazole,icd:10:R0781,treat,11,11,0.00015032251011260522,0.20754716981132076
drug:omeprazole,icd:10:B349,treat,46,45,0.00062862140592544007,0.19166666666666668
drug:omeprazole,icd:10:I428,treat,11,11,0.00015032251011260522,0.26829268292682928
drug:omeprazole,icd:9:57451,treat,84,83,0.0011479173499508036,0.1640625
drug:omeprazole,icd:9:41401,treat,632,598,0.0086367114901060461,0.10989393149017562
drug:omeprazole,icd:10:A414,treat,10,10,0.00013665682737509566,0.18181818181818182
drug:omeprazole,icd:10:T8142XA,treat,23,23,0.00031431070296272003,0.15131578947368421
drug:omeprazole,icd:9:00845,treat,199,180,0.0027194708647644036,0.20515463917525772
drug:omeprazole,icd:10:A4151,treat,244,226,0.0033344265879523341,0.23828125
drug:omeprazole,icd:9:41519,treat,211,201,0.0028834590576145183,0.17252657399836469
drug:omeprazole,icd:10:J189,treat,523,469,0.007147152071717503,0.24704770902220122
drug:omeprazole,icd:9:5130,treat,15,14,0.00020498524106264348,0.189873417721519
drug:omeprazole,icd:10:I4891,treat,165,160,0.0022548376516890786,0.22117962466487937
drug:omeprazole,icd:10:I130,treat,759,512,0.01037225319776976,0.22909749471777846
drug:omeprazole,icd:10:K7290,treat,178,133,0.0024324915272767029,0.36853002070393376
drug:omeprazole,icd:10:I313,treat,66,60,0.00090193506067563138,0.20820189274447951
drug:omeprazole,icd:9:49121,treat,262,187,0.0035804088772275061,0.20597484276729561
drug:omeprazole,icd:10:K7031,treat,268,175,0.0036624029736525639,0.26746506986027946
drug:omeprazole,icd:10:I6340,treat,40,39,0.00054662730950038262,0.16393442622950818
drug:omeprazole,icd:9:5589,treat,147,140,0.0020088553624139061,0.17668269230769232
drug:omeprazole,icd:10:R1013,treat,96,86,0.0013119055428009183,0.25396825396825395
drug:omeprazole,icd:9:29181,treat,173,112,0.0023641631135891549,0.16274694261523989
drug:omeprazole,icd:10:S72402A,treat,12,12,0.00016398819285011479,0.20338983050847459
drug:omeprazole,icd:9:4870,treat,21,21,0.0002869793374877009,0.15671641791044777
drug:omeprazole,icd:10:I442,treat,96,96,0.0013119055428009183,0.18604651162790697
drug:omeprazole,icd:10:I25110,treat,309,283,0.0042226959658904556,0.18502994011976048
drug:omeprazole,icd:10:I110,treat,616,469,0.0084180605663058926,0.25050833672224482
drug:omeprazole,icd:10:K7469,treat,138,105,0.00188586421777632,0.29175475687103591
drug:omeprazole,icd:9:03849,treat,78,72,0.0010659232535257461,0.19897959183673469
drug:omeprazole,icd:9:99672,treat,54,52,0.00073794686782551659,0.12676056338028169
drug:simvastatin,icd:9:1830,treat,14,14,0.00040107717870853149,0.054054054054054057
drug:simvastatin,icd:9:42613,treat,11,11,0.00031513206898527472,0.0990990990990991
drug:simvastatin,icd:9:42731,treat,373,322,0.010685841975591588,0.12071197411003236
drug:simvastatin,icd:10:S065X0A,treat,58,54,0.0016616054546496305,0.073604060913705582
drug:simvastatin,icd:10:I714,treat,51,51,0.0014610668652953647,0.11971830985915492
drug:simvastatin,icd:9:57410,treat,31,31,0.00088809946714031975,0.065957446808510636
drug:simvastatin,icd:9:99811,treat,62,61,0.0017761989342806395,0.095238095238095233
drug:simvastatin,icd:9:00845,treat,94,84,0.0026929467713287113,0.096907216494845363
drug:simvastatin,icd:9:40391,treat,60,56,0.001718902194465135,0.099009900990099015
drug:simvastatin,icd:9:9974,treat,13,12,0.00037242880880077923,0.028017241379310345
drug:simvastatin,icd:9:71535,treat,76,72,0.0021772761129891711,0.13768115942028986
drug:simvastatin,icd:10:L03116,treat,46,41,0.0013178250157566034,0.060846560846560843
drug:simvastatin,icd:9:41401,treat,866,829,0.024809488340113449,0.15058250739001913
drug:simvastatin,icd:9:4321,treat,45,42,0.0012891766458488511,0.1174934725848564
drug:warfarin,icd:10:J189,treat,152,141,0.0052613361024575981,0.071799716580066134
drug:warfarin,icd:10:K7031,treat,10,10,0.00034614053305642093,0.00998003992015968
drug:furosemide,icd:10:J159,treat,58,58,0.00083660281560120006,0.19269102990033224
drug:furosemide,icd:9:42832,treat,52,49,0.00075005769674590353,0.60465116279069764
drug:furosemide,icd:9:41401,treat,1689,1614,0.024362450957765982,0.29368805425143452
drug:furosemide,icd:10:I4891,treat,254,247,0.0036637433648742212,0.34048257372654156
drug:furosemide,icd:9:42731,treat,899,771,0.012967343641818601,0.29093851132686083
drug:furosemide,icd:9:41072,treat,10,10,0.00014424186475882759,0.33333333333333331
drug:furosemide,icd:10:I340,treat,313,304,0.004514770366951304,0.67602591792656586
drug:furosemide,icd:10:I130,treat,2995,1873,0.043200438495268868,0.90401448837911258
drug:furosemide,icd:10:I350,treat,676,637,0.0097507500576967457,0.503725782414307
drug:furosemide,icd:10:C221,treat,13,13,0.00018751442418647588,0.0783132530120482
drug:furosemide,icd:10:A4189,treat,218,217,0.0031444726517424419,0.23265741728922093
drug:furosemide,icd:10:C8338,treat,15,14,0.0002163627971382414,0.11904761904761904
drug:furosemide,icd:9:V560,treat,73,71,0.0010529656127394415,0.34928229665071769
drug:furosemide,icd:10:T82897A,treat,41,41,0.00059139164551119314,0.43617021276595747
drug:furosemide,icd:9:42823,treat,1694,1117,0.024434571890145397,0.8827514330380406
drug:furosemide,icd:9:1534,treat,15,15,0.0002163627971382414,0.1388888888888889
drug:furosemide,icd:9:40491,treat,163,142,0.00235114239556889,0.92090395480225984
drug:furosemide,icd:9:99932,treat,23,23,0.0003317562889453035,0.10648148148148148
drug:furosemide,icd:10:I5021,treat,125,125,0.0018030233094853451,0.95419847328244278
drug:furosemide,icd:10:I5023,treat,610,456,0.0087987537502884836,0.86647727272727271
drug:furosemide,icd:10:I5033,treat,673,551,0.0097074774982690969,0.90700808625336926
drug:levofloxacin,icd:10:U071,treat,40,39,0.0027826086956521741,0.020650490449148167
drug:levofloxacin,icd:9:486,treat,1906,1745,0.13259130434782609,0.51154052603327971
drug:levofloxacin,icd:9:5750,treat,12,12,0.00083478260869565221,0.044280442804428041
drug:levofloxacin,icd:10:J189,treat,507,490,0.0352695652173913,0.23948984411903637
drug:lisinopril,icd:10:I2119,treat,74,74,0.0015190393102740428,0.2334384858044164
drug:lisinopril,icd:9:4241,treat,195,190,0.0040028738581545723,0.11955855303494789
drug:simvastatin,icd:9:0389,treat,276,267,0.00790695009453962,0.087786259541984726
drug:simvastatin,icd:9:03842,treat,73,66,0.0020913310032659141,0.098118279569892469
drug:furosemide,icd:9:03843,treat,16,16,0.00023078698361412417,0.16842105263157894
drug:furosemide,icd:9:25042,treat,24,23,0.00034618047542118622,0.38095238095238093
drug:levofloxacin,icd:9:28803,treat,20,19,0.0013913043478260871,0.093023255813953487
drug:levofloxacin,icd:9:51919,treat,24,23,0.0016695652173913044,0.073394495412844041
drug:levofloxacin,icd:9:5761,treat,27,24,0.0018782608695652174,0.038737446197991389
drug:levofloxacin,icd:9:0388,treat,25,25,0.0017391304347826088,0.23584905660377359
drug:levofloxacin,icd:10:J441,treat,121,105,0.0084173913043478262,0.10698496905393456
drug:levofloxacin,icd:9:42731,treat,56,56,0.0038956521739130436,0.018122977346278317
drug:amlodipine,icd:10:G40109,treat,15,15,0.00036178577458334337,0.1079136690647482
drug:amlodipine,icd:9:4660,treat,34,33,0.00082004775572224505,0.12830188679245283
drug:amlodipine,icd:9:25063,treat,39,18,0.00094064301391669279,0.14391143911439114
drug:amlodipine,icd:10:I350,treat,212,200,0.0051132389474445863,0.15797317436661698
drug:amlodipine,icd:10:J45901,treat,58,51,0.0013989049950555944,0.1037567084078712
drug:amlodipine,icd:9:25060,treat,61,47,0.001471262149972263,0.12815126050420167
drug:amlodipine,icd:9:4241,treat,126,116,0.0030390005065000845,0.077253218884120178
drug:amlodipine,icd:10:S065X0A,treat,99,94,0.0023877861122500663,0.12563451776649745
drug:amlodipine,icd:10:R0602,treat,17,17,0.00041002387786112253,0.07623318385650224
drug:amlodipine,icd:10:I132,treat,272,202,0.0065603820457779604,0.42566510172143973
drug:amlodipine,icd:9:5589,treat,51,50,0.0012300716335833675,0.06129807692307692
drug:amlodipine,icd:10:Z5111,treat,390,138,0.0094064301391669283,0.10964295754849593
drug:amlodipine,icd:9:40391,treat,125,113,0.0030148814548611948,0.20627062706270627
drug:amlodipine,icd:10:S72001A,treat,19,19,0.00045826198113890163,0.10982658959537572
drug:amlodipine,icd:9:1625,treat,34,31,0.00082004775572224505,0.13026819923371646
drug:amlodipine,icd:10:T82855A,treat,45,38,0.0010853573237500302,0.22058823529411764
drug:amlodipine,icd:9:57450,treat,23,23,0.00055473818769445984,0.0696969696969697
drug:glyburide,icd:9:99859,treat,22,21,0.012805587892898719,0.010009099181073703
drug:warfarin,icd:10:I472,treat,106,77,0.0036690896503980617,0.16282642089093702
drug:warfarin,icd:10:I350,treat,136,124,0.0047075112495673244,0.10134128166915052
drug:atenolol,icd:9:1820,treat,42,41,0.0027620676048928055,0.13166144200626959
drug:furosemide,icd:10:E1165,treat,35,34,0.00050484652665589661,0.046604527296937419
drug:lisinopril,icd:10:E1169,treat,110,90,0.0022580314071641177,0.22964509394572025
drug:lisinopril,icd:10:I618,treat,41,41,0.00084162988812480752,0.12386706948640483
drug:lisinopril,icd:10:Z5111,treat,205,106,0.0042081494406240377,0.05763283666010683
drug:lisinopril,icd:10:I110,treat,527,442,0.010818023196140818,0.214314762098414
drug:lisinopril,icd:9:49322,treat,142,91,0.0029149132710664066,0.19267299864314791
drug:lisinopril,icd:9:1744,treat,11,11,0.00022580314071641178,0.1111111111111111
drug:lisinopril,icd:10:T814XXA,treat,103,95,0.002114338499435492,0.11825487944890931
drug:lisinopril,icd:9:4260,treat,58,58,0.0011905983783228986,0.21641791044776118
drug:omeprazole,icd:10:E8779,treat,17,17,0.00023231660653766261,0.26984126984126983
drug:omeprazole,icd:10:K7030,treat,52,44,0.00071061550235049741,0.25
drug:omeprazole,icd:10:N132,treat,37,37,0.000505630261287854,0.073267326732673263
drug:omeprazole,icd:10:K921,treat,107,97,0.0014622280529135235,0.13842173350582149
drug:omeprazole,icd:9:78906,treat,172,158,0.0023504974308516452,0.18880351262349068
drug:omeprazole,icd:10:R509,treat,138,129,0.00188586421777632,0.24598930481283424
drug:omeprazole,icd:10:J441,treat,331,219,0.0045233409861156664,0.29266136162687889
drug:omeprazole,icd:10:N390,treat,483,395,0.00660052476221712,0.22247812068171349
drug:omeprazole,icd:9:42833,treat,528,381,0.007215480485405051,0.23259911894273128
drug:omeprazole,icd:9:11284,treat,14,13,0.00019131955832513392,0.27450980392156865
drug:omeprazole,icd:10:K581,treat,14,12,0.00019131955832513392,0.358974358974359
drug:omeprazole,icd:10:Z5111,treat,609,284,0.0083224007871433251,0.17121169524880517
drug:omeprazole,icd:10:J9809,treat,21,19,0.0002869793374877009,0.23076923076923078
drug:omeprazole,icd:10:I70262,treat,18,15,0.00024598228927517218,0.21428571428571427
drug:omeprazole,icd:10:I5033,treat,249,204,0.0034027550016398817,0.33557951482479786
drug:simvastatin,icd:10:I442,treat,66,64,0.0018907924139116485,0.12790697674418605
drug:simvastatin,icd:9:4414,treat,94,94,0.0026929467713287113,0.22650602409638554
drug:simvastatin,icd:10:I5033,treat,63,56,0.0018048473041883918,0.084905660377358486
drug:simvastatin,icd:10:D62,treat,19,19,0.00054431902824729277,0.048346055979643768
drug:simvastatin,icd:9:2761,treat,102,90,0.0029221337305907293,0.14550641940085593
drug:simvastatin,icd:9:6826,treat,221,174,0.0063312897496132468,0.10269516728624535
drug:simvastatin,icd:10:I2699,treat,89,87,0.0025497049217899502,0.078691423519009721
drug:simvastatin,icd:9:V560,treat,22,20,0.00063026413797054944,0.10526315789473684
drug:simvastatin,icd:9:99662,treat,49,44,0.0014037701254798602,0.13920454545454544
drug:simvastatin,icd:9:5990,treat,367,329,0.010513951756145076,0.12369396697000337
drug:simvastatin,icd:9:431,treat,121,120,0.003466452758838022,0.10058187863674148
drug:simvastatin,icd:9:5533,treat,20,20,0.000572967398155045,0.12048192771084337
drug:simvastatin,icd:9:78659,treat,470,414,0.013464733856643558,0.090176515732924026
drug:simvastatin,icd:9:41071,treat,296,290,0.0084799174926946663,0.10302819352593108
drug:furosemide,icd:9:42831,treat,262,259,0.003779136856681283,0.86468646864686471
drug:furosemide,icd:10:K7460,treat,64,61,0.0009231479344564967,0.45714285714285713
drug:furosemide,icd:10:I2729,treat,13,13,0.00018751442418647588,0.8666666666666667
drug:furosemide,icd:10:I442,treat,132,132,0.0019039926148165243,0.2558139534883721
drug:warfarin,icd:10:Q231,treat,47,47,0.0016268605053651782,0.14506172839506173
drug:warfarin,icd:9:4240,treat,61,60,0.0021114572516441675,0.12551440329218108
drug:warfarin,icd:9:45340,treat,30,30,0.0010384215991692627,0.410958904109589
drug:warfarin,icd:10:I352,treat,11,11,0.000380754586362063,0.095652173913043481
drug:warfarin,icd:9:6826,treat,232,183,0.0080304603669089647,0.10780669144981413
drug:warfarin,icd:10:T827XXA,treat,59,43,0.0020422291450328833,0.15989159891598917
drug:furosemide,icd:9:3453,treat,13,13,0.00018751442418647588,0.08666666666666667
drug:lisinopril,icd:10:I420,treat,36,34,0.0007389920968900749,0.35643564356435642
drug:warfarin,icd:9:0389,treat,241,222,0.0083419868466597432,0.076653944020356232
drug:warfarin,icd:9:42731,treat,1441,1135,0.049878850813430256,0.46634304207119742
drug:warfarin,icd:10:I083,treat,29,29,0.0010038075458636206,0.17575757575757575
drug:furosemide,icd:10:N179,treat,339,326,0.0048897992153242561,0.12777987184319639
drug:furosemide,icd:9:41071,treat,913,837,0.013169282252480961,0.317786286112078
drug:furosemide,icd:10:J80,treat,20,20,0.00028848372951765518,0.51282051282051277
drug:lisinopril,icd:9:59010,treat,27,24,0.00055424407266755618,0.080357142857142863
drug:lisinopril,icd:10:E1010,treat,51,43,0.0010469054705942729,0.10408163265306122
drug:lisinopril,icd:9:82021,treat,71,70,0.0014574566355332033,0.1111111111111111
drug:warfarin,icd:9:03842,treat,55,52,0.0019037729318103151,0.0739247311827957
drug:simvastatin,icd:9:5579,treat,29,28,0.00083080272732481524,0.14795918367346939
drug:furosemide,icd:9:25072,treat,17,17,0.00024521117009000692,0.17171717171717171
drug:furosemide,icd:9:42732,treat,163,155,0.00235114239556889,0.31346153846153846
drug:furosemide,icd:9:2930,treat,10,10,0.00014424186475882759,0.18867924528301888
drug:furosemide,icd:9:40291,treat,97,88,0.0013991460881606277,0.88990825688073394
drug:furosemide,icd:10:I4820,treat,23,22,0.0003317562889453035,0.39655172413793105
drug:warfarin,icd:10:I5043,treat,18,17,0.00062305295950155766,0.20689655172413793
drug:furosemide,icd:9:55321,treat,52,46,0.00075005769674590353,0.083467094703049763
drug:furosemide,icd:10:K921,treat,94,89,0.0013558735287329796,0.12160413971539456
drug:furosemide,icd:9:99812,treat,55,55,0.00079333025617355185,0.13819095477386933
drug:furosemide,icd:9:5772,treat,10,10,0.00014424186475882759,0.052631578947368418
drug:amlodipine,icd:9:78659,treat,342,291,0.00824871566050023,0.065617805065234069
drug:amlodipine,icd:10:E8779,treat,15,15,0.00036178577458334337,0.23809523809523808
drug:amlodipine,icd:9:78009,treat,20,20,0.00048238103277779116,0.077519379844961239
drug:amlodipine,icd:9:33819,treat,13,13,0.00031354767130556426,0.0436241610738255
drug:amlodipine,icd:9:40390,treat,72,66,0.0017365717180000482,0.35294117647058826
drug:amlodipine,icd:10:N179,treat,505,456,0.012180121077639227,0.19035054655107425
drug:amlodipine,icd:9:41401,treat,530,481,0.012783097368611466,0.092157885585115631
drug:amlodipine,icd:9:42731,treat,209,180,0.005040881792527918,0.067637540453074435
drug:amlodipine,icd:9:7804,treat,37,37,0.00089240491063891363,0.043427230046948359
drug:amlodipine,icd:10:I5033,treat,108,87,0.0026048575770000722,0.14555256064690028
drug:amlodipine,icd:10:K8030,treat,10,9,0.00024119051638889558,0.16129032258064516
drug:lisinopril,icd:10:K9186,treat,15,15,0.00030791337370419789,0.092592592592592587
drug:lisinopril,icd:10:I25118,treat,90,84,0.0018474802422251873,0.16853932584269662
drug:lisinopril,icd:9:4659,treat,38,37,0.000780047213383968,0.096446700507614211
drug:lisinopril,icd:10:C7951,treat,46,46,0.00094426767935954013,0.10337078651685393
drug:lisinopril,icd:10:I82412,treat,23,22,0.00047213383967977007,0.14838709677419354
drug:lisinopril,icd:9:42731,treat,564,467,0.011577542851277841,0.18252427184466019
drug:lisinopril,icd:9:44024,treat,112,97,0.0022990865236580107,0.16918429003021149
drug:warfarin,icd:10:U071,treat,68,67,0.0023537556247836622,0.035105833763551884
drug:warfarin,icd:10:I110,treat,345,260,0.011941848390446522,0.14030093533956894
drug:warfarin,icd:9:82021,treat,40,38,0.0013845621322256837,0.062597809076682318
drug:warfarin,icd:9:99859,treat,179,160,0.0061959155417099345,0.08143767060964513
drug:warfarin,icd:9:42831,treat,59,58,0.0020422291450328833,0.19471947194719472
drug:warfarin,icd:9:41071,treat,194,190,0.0067151263412945656,0.067525234946049423
drug:warfarin,icd:9:59080,treat,16,16,0.00055382485289027345,0.034557235421166309
drug:warfarin,icd:9:42843,treat,163,141,0.0056420906888196608,0.29798903107861058
drug:warfarin,icd:9:44324,treat,20,19,0.00069228106611284187,0.46511627906976744
drug:warfarin,icd:9:71536,treat,113,100,0.0039113880235375565,0.096581196581196585
drug:warfarin,icd:10:I080,treat,36,35,0.0012461059190031153,0.13793103448275862
drug:warfarin,icd:9:41519,treat,646,611,0.02236067843544479,0.52820932134096488
drug:warfarin,icd:9:41401,treat,309,284,0.010695742471443406,0.053729786124152322
drug:amlodipine,icd:9:43491,treat,85,84,0.0020501193893056125,0.066510172143974963
drug:amlodipine,icd:9:7242,treat,24,23,0.00057885723933334937,0.046511627906976744
drug:amlodipine,icd:10:C9200,treat,34,31,0.00082004775572224505,0.11295681063122924
drug:amlodipine,icd:9:71596,treat,65,61,0.0015677383565278213,0.124282982791587
drug:atenolol,icd:9:0088,treat,56,55,0.0036827568065237407,0.057911065149948295
drug:atenolol,icd:10:M1711,treat,46,46,0.0030251216625016442,0.069069069069069067
drug:atenolol,icd:9:25070,treat,12,11,0.00078916217282651584,0.051724137931034482
drug:furosemide,icd:10:J690,treat,189,168,0.0027261712439418419,0.22826086956521738
drug:furosemide,icd:10:R55,treat,93,92,0.0013414493422570968,0.055258467023172907
drug:furosemide,icd:10:D62,treat,77,75,0.0011106623586429726,0.19592875318066158
drug:furosemide,icd:10:J9601,treat,262,258,0.003779136856681283,0.41130298273155413
drug:furosemide,icd:10:U071,treat,430,424,0.0062024001846295871,0.2219927723283428
drug:furosemide,icd:10:T8649,treat,15,13,0.0002163627971382414,0.1171875
drug:furosemide,icd:9:45981,treat,112,99,0.0016155088852988692,0.41328413284132842
drug:furosemide,icd:10:K8000,treat,28,28,0.00040387722132471731,0.070886075949367092
drug:furosemide,icd:9:85226,treat,11,11,0.00015866605123471036,0.10576923076923077
drug:furosemide,icd:9:4359,treat,43,42,0.00062024001846295869,0.082217973231357558
drug:furosemide,icd:10:J189,treat,391,369,0.0056398569120701594,0.18469532357109117
drug:furosemide,icd:9:5712,treat,240,188,0.0034618047542118624,0.42780748663101603
drug:furosemide,icd:9:5723,treat,20,19,0.00028848372951765518,0.35087719298245612
drug:furosemide,icd:9:42821,treat,227,225,0.0032742903300253864,0.84074074074074079
drug:furosemide,icd:9:07044,treat,103,77,0.0014856912070159243,0.3946360153256705
drug:furosemide,icd:10:I611,treat,29,29,0.00041830140780060003,0.1039426523297491
drug:furosemide,icd:9:5849,treat,510,473,0.007356335102700208,0.14439411098527746
drug:furosemide,icd:9:4240,treat,352,341,0.0050773136395107317,0.72427983539094654
drug:furosemide,icd:10:G459,treat,19,19,0.00027405954304177246,0.043083900226757371
drug:furosemide,icd:9:5762,treat,20,18,0.00028848372951765518,0.0338409475465313
drug:furosemide,icd:10:I483,treat,46,45,0.000663512577890607,0.2875
drug:furosemide,icd:9:4148,treat,16,16,0.00023078698361412417,0.30188679245283018
drug:furosemide,icd:9:43310,treat,88,87,0.0012693284098776829,0.13394216133942161
