id,type,label,aliases,source_ids
icd:9:0498,disease,Other specified non-arthropod-borne viral diseases of central nervous system,,
icd:9:0499,disease,Unspecified non-arthropod-borne viral diseases of central nervous system,,
icd:9:0522,disease,Postvaricella myelitis,,
icd:9:0527,disease,Chickenpox with other specified complications,,
icd:9:0529,disease,Varicella without mention of complication,,
icd:9:0530,disease,Herpes zoster with meningitis,,
icd:9:05310,disease,Herpes zoster with unspecified nervous system complication,,
icd:9:05311,disease,Geniculate herpes zoster,,
icd:9:05314,disease,Herpes zoster myelitis,,
icd:9:05319,disease,Herpes zoster with other nervous system complications,,
icd:9:05320,disease,Herpes zoster dermatitis of eyelid,,
icd:9:05321,disease,Herpes zoster keratoconjunctivitis,,
icd:9:05371,disease,Otitis externa due to herpes zoster,,
icd:9:05379,disease,Herpes zoster with other specified complications,,
icd:9:0539,disease,Herpes zoster without mention of complication,,
icd:9:05410,disease,"Genital herpes, unspecified",,
icd:9:05411,disease,Herpetic vulvovaginitis,,
icd:9:0542,disease,Herpetic gingivostomatitis,,
icd:9:0543,disease,Herpetic meningoencephalitis,,
icd:9:0546,disease,Herpetic whitlow,,
icd:9:05472,disease,Herpes simplex meningitis,,
icd:9:05479,disease,Herpes simplex with other specified complications,,
icd:9:0549,disease,Herpes simplex without mention of complication,,
icd:9:0579,disease,"Viral exanthem, unspecified",,
icd:9:0661,disease,Tick-borne fever,,
icd:9:0701,disease,Viral hepatitis A without mention of hepatic coma,,
icd:9:07020,disease,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta",,
icd:9:07022,disease,Chronic viral hepatitis B with hepatic coma without hepatitis delta,,
icd:9:07030,disease,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",,
icd:9:07032,disease,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,,
icd:9:07041,disease,Acute hepatitis C with hepatic coma,,
icd:9:07044,disease,Chronic hepatitis C with hepatic coma,,
icd:9:07051,disease,Acute hepatitis C without mention of hepatic coma,,
icd:9:07054,disease,Chronic hepatitis C without mention of hepatic coma,,
icd:9:07059,disease,Other specified viral hepatitis without mention of hepatic coma,,
icd:9:07070,disease,Unspecified viral hepatitis C without hepatic coma,,
icd:9:07071,disease,Unspecified viral hepatitis C with hepatic coma,,
icd:9:0709,disease,Unspecified viral hepatitis without mention of hepatic coma,,
icd:9:075,disease,Infectious mononucleosis,,
icd:9:07799,disease,Unspecified diseases of conjunctiva due to viruses,,
icd:9:0785,disease,Cytomegaloviral disease,,
icd:9:07889,disease,Other specified diseases due to viruses,,
icd:9:07951,disease,"Human T-cell lymphotrophic virus, type I [HTLV-I]",,
icd:9:0796,disease,Respiratory syncytial virus (RSV),,
icd:9:07989,disease,Other specified viral infection,,
icd:9:07999,disease,Unspecified viral infection,,
icd:9:08240,disease,"Ehrlichiosis, unspecified",,
icd:9:08249,disease,Other ehrlichiosis,,
icd:9:0830,disease,Q fever,,
icd:9:0844,disease,Other malaria,,
icd:9:0846,disease,"Malaria, unspecified",,
icd:9:0879,disease,"Relapsing fever, unspecified",,
icd:9:08881,disease,Lyme Disease,,
icd:9:08882,disease,Babesiosis,,
icd:9:0940,disease,Tabes dorsalis,,
icd:9:0943,disease,Asymptomatic neurosyphilis,,
icd:9:0949,disease,"Neurosyphilis, unspecified",,
icd:9:096,disease,"Late syphilis, latent",,
icd:9:0971,disease,"Latent syphilis, unspecified",,
icd:9:0979,disease,"Syphilis, unspecified",,
icd:9:09886,disease,Gonococcal peritonitis,,
icd:9:0993,disease,Reiter's disease,,
icd:9:1101,disease,Dermatophytosis of nail,,
icd:9:1103,disease,Dermatophytosis of groin and perianal area,,
icd:9:1104,disease,Dermatophytosis of foot,,
icd:9:1120,disease,Candidiasis of mouth,,
icd:9:1121,disease,Candidiasis of vulva and vagina,,
icd:9:1122,disease,Candidiasis of other urogenital sites,,
icd:9:1123,disease,Candidiasis of skin and nails,,
icd:9:1125,disease,Disseminated candidiasis,,
icd:9:11281,disease,Candidal endocarditis,,
icd:9:11284,disease,Candidal esophagitis,,
icd:9:1140,disease,Primary coccidioidomycosis (pulmonary),,
icd:9:11590,disease,"Histoplasmosis, unspecified, without mention of manifestation",,
icd:9:11599,disease,"Histoplasmosis, unspecified, other",,
icd:9:1160,disease,Blastomycosis,,
icd:9:1173,disease,Aspergillosis,,
icd:9:1174,disease,Mycotic mycetomas,,
icd:9:1175,disease,Cryptococcosis,,
icd:9:1177,disease,Zygomycosis [Phycomycosis or Mucormycosis],,
icd:9:1179,disease,Other and unspecified mycoses,,
icd:9:118,disease,Opportunistic mycoses,,
icd:9:1220,disease,Echinococcus granulosus infection of liver,,
icd:9:1231,disease,Cysticercosis,,
icd:9:1272,disease,Strongyloidiasis,,
icd:9:129,disease,"Intestinal parasitism, unspecified",,
icd:9:1300,disease,Meningoencephalitis due to toxoplasmosis,,
icd:9:1307,disease,Toxoplasmosis of other specified sites,,
icd:9:1330,disease,Scabies,,
icd:9:1340,disease,Myiasis,,
icd:9:135,disease,Sarcoidosis,,
icd:9:1361,disease,Behcet's syndrome,,
icd:9:1363,disease,Pneumocystosis,,
icd:9:1368,disease,Other specified infectious and parasitic diseases,,
icd:9:1369,disease,Unspecified infectious and parasitic diseases,,
icd:9:138,disease,Late effects of acute poliomyelitis,,
icd:9:1410,disease,Malignant neoplasm of base of tongue,,
icd:9:1411,disease,Malignant neoplasm of dorsal surface of tongue,,
icd:9:1414,disease,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",,
icd:9:1418,disease,Malignant neoplasm of other sites of tongue,,
icd:9:1419,disease,"Malignant neoplasm of tongue, unspecified",,
icd:9:1420,disease,Malignant neoplasm of parotid gland,,
icd:9:1421,disease,Malignant neoplasm of submandibular gland,,
icd:9:1429,disease,"Malignant neoplasm of salivary gland, unspecified",,
icd:9:1430,disease,Malignant neoplasm of upper gum,,
icd:9:1431,disease,Malignant neoplasm of lower gum,,
icd:9:1440,disease,Malignant neoplasm of anterior portion of floor of mouth,,
icd:9:1450,disease,Malignant neoplasm of cheek mucosa,,
icd:9:1453,disease,Malignant neoplasm of soft palate,,
icd:9:1459,disease,"Malignant neoplasm of mouth, unspecified",,
icd:9:1461,disease,Malignant neoplasm of tonsillar fossa,,
icd:9:1463,disease,Malignant neoplasm of vallecula epiglottica,,
icd:9:1468,disease,Malignant neoplasm of other specified sites of oropharynx,,
icd:9:1471,disease,Malignant neoplasm of posterior wall of nasopharynx,,
icd:9:1478,disease,Malignant neoplasm of other specified sites of nasopharynx,,
icd:9:1481,disease,Malignant neoplasm of pyriform sinus,,
icd:9:1488,disease,Malignant neoplasm of other specified sites of hypopharynx,,
icd:9:1489,disease,"Malignant neoplasm of hypopharynx, unspecified site",,
icd:9:1490,disease,"Malignant neoplasm of pharynx, unspecified",,
icd:9:1500,disease,Malignant neoplasm of cervical esophagus,,
icd:9:1501,disease,Malignant neoplasm of thoracic esophagus,,
icd:9:1503,disease,Malignant neoplasm of upper third of esophagus,,
icd:9:1504,disease,Malignant neoplasm of middle third of esophagus,,
icd:9:1505,disease,Malignant neoplasm of lower third of esophagus,,
icd:9:1508,disease,Malignant neoplasm of other specified part of esophagus,,
icd:9:1509,disease,"Malignant neoplasm of esophagus, unspecified site",,
icd:9:1510,disease,Malignant neoplasm of cardia,,
icd:9:1512,disease,Malignant neoplasm of pyloric antrum,,
icd:9:1513,disease,Malignant neoplasm of fundus of stomach,,
icd:9:1514,disease,Malignant neoplasm of body of stomach,,
icd:9:1516,disease,"Malignant neoplasm of greater curvature of stomach, unspecified",,
icd:9:1518,disease,Malignant neoplasm of other specified sites of stomach,,
icd:9:1519,disease,"Malignant neoplasm of stomach, unspecified site",,
icd:9:1520,disease,Malignant neoplasm of duodenum,,
icd:9:1521,disease,Malignant neoplasm of jejunum,,
icd:9:1530,disease,Malignant neoplasm of hepatic flexure,,
icd:9:1531,disease,Malignant neoplasm of transverse colon,,
icd:9:1532,disease,Malignant neoplasm of descending colon,,
icd:9:1533,disease,Malignant neoplasm of sigmoid colon,,
icd:9:1534,disease,Malignant neoplasm of cecum,,
icd:9:1535,disease,Malignant neoplasm of appendix vermiformis,,
icd:9:1536,disease,Malignant neoplasm of ascending colon,,
icd:9:1537,disease,Malignant neoplasm of splenic flexure,,
icd:9:1538,disease,Malignant neoplasm of other specified sites of large intestine,,
icd:9:1539,disease,"Malignant neoplasm of colon, unspecified site",,
icd:9:1540,disease,Malignant neoplasm of rectosigmoid junction,,
icd:9:1541,disease,Malignant neoplasm of rectum,,
icd:9:1543,disease,"Malignant neoplasm of anus, unspecified site",,
icd:9:1548,disease,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",,
icd:9:1550,disease,"Malignant neoplasm of liver, primary",,
icd:9:1551,disease,Malignant neoplasm of intrahepatic bile ducts,,
icd:9:1552,disease,"Malignant neoplasm of liver, not specified as primary or secondary",,
icd:9:1560,disease,Malignant neoplasm of gallbladder,,
icd:9:1561,disease,Malignant neoplasm of extrahepatic bile ducts,,
icd:9:1562,disease,Malignant neoplasm of ampulla of vater,,
icd:9:1568,disease,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts,,
icd:9:1569,disease,"Malignant neoplasm of biliary tract, part unspecified site",,
icd:9:1570,disease,Malignant neoplasm of head of pancreas,,
icd:9:1571,disease,Malignant neoplasm of body of pancreas,,
icd:9:1572,disease,Malignant neoplasm of tail of pancreas,,
icd:9:1573,disease,Malignant neoplasm of pancreatic duct,,
icd:9:1578,disease,Malignant neoplasm of other specified sites of pancreas,,
icd:9:1579,disease,"Malignant neoplasm of pancreas, part unspecified",,
icd:9:1580,disease,Malignant neoplasm of retroperitoneum,,
icd:9:1588,disease,Malignant neoplasm of specified parts of peritoneum,,
icd:9:1589,disease,"Malignant neoplasm of peritoneum, unspecified",,
icd:9:1591,disease,"Malignant neoplasm of spleen, not elsewhere classified",,
icd:9:1598,disease,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,,
icd:9:1602,disease,Malignant neoplasm of maxillary sinus,,
icd:9:1603,disease,Malignant neoplasm of ethmoidal sinus,,
icd:9:1610,disease,Malignant neoplasm of glottis,,
icd:9:1611,disease,Malignant neoplasm of supraglottis,,
icd:9:1618,disease,Malignant neoplasm of other specified sites of larynx,,
icd:9:1619,disease,"Malignant neoplasm of larynx, unspecified",,
icd:9:1620,disease,Malignant neoplasm of trachea,,
icd:9:1622,disease,Malignant neoplasm of main bronchus,,
icd:9:1623,disease,"Malignant neoplasm of upper lobe, bronchus or lung",,
icd:9:1624,disease,"Malignant neoplasm of middle lobe, bronchus or lung",,
icd:9:1625,disease,"Malignant neoplasm of lower lobe, bronchus or lung",,
icd:9:1628,disease,Malignant neoplasm of other parts of bronchus or lung,,
icd:9:1629,disease,"Malignant neoplasm of bronchus and lung, unspecified",,
icd:9:1630,disease,Malignant neoplasm of parietal pleura,,
icd:9:1638,disease,Malignant neoplasm of other specified sites of pleura,,
icd:9:1639,disease,"Malignant neoplasm of pleura, unspecified",,
icd:9:1641,disease,Malignant neoplasm of heart,,
icd:9:1642,disease,Malignant neoplasm of anterior mediastinum,,
icd:9:1648,disease,Malignant neoplasm of other parts of mediastinum,,
icd:9:1700,disease,"Malignant neoplasm of bones of skull and face, except mandible",,
icd:9:1701,disease,Malignant neoplasm of mandible,,
icd:9:1702,disease,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",,
icd:9:1703,disease,"Malignant neoplasm of ribs, sternum, and clavicle",,
icd:9:1707,disease,Malignant neoplasm of long bones of lower limb,,
icd:9:1709,disease,"Malignant neoplasm of bone and articular cartilage, site unspecified",,
icd:9:1710,disease,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",,
icd:9:1712,disease,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",,
icd:9:1713,disease,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",,
icd:9:1714,disease,Malignant neoplasm of connective and other soft tissue of thorax,,
icd:9:1715,disease,Malignant neoplasm of connective and other soft tissue of abdomen,,
icd:9:1716,disease,Malignant neoplasm of connective and other soft tissue of pelvis,,
icd:9:1717,disease,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified",,
icd:9:1718,disease,Malignant neoplasm of other specified sites of connective and other soft tissue,,
icd:9:1720,disease,Malignant melanoma of skin of lip,,
icd:9:1722,disease,Malignant melanoma of skin of ear and external auditory canal,,
icd:9:1723,disease,Malignant melanoma of skin of other and unspecified parts of face,,
icd:9:1724,disease,Malignant melanoma of skin of scalp and neck,,
icd:9:1725,disease,"Malignant melanoma of skin of trunk, except scrotum",,
icd:9:1726,disease,"Malignant melanoma of skin of upper limb, including shoulder",,
icd:9:1727,disease,"Malignant melanoma of skin of lower limb, including hip",,
icd:9:17301,disease,Basal cell carcinoma of skin of lip,,
icd:9:1732,disease,Other malignant neoplasm of skin of ear and external auditory canal,,
icd:9:17321,disease,Basal cell carcinoma of skin of ear and external auditory canal,,
icd:9:17322,disease,Squamous cell carcinoma of skin of ear and external auditory canal,,
icd:9:1733,disease,Other malignant neoplasm of skin of other and unspecified parts of face,,
icd:9:17332,disease,Squamous cell carcinoma of skin of other and unspecified parts of face,,
icd:9:1734,disease,Other malignant neoplasm of scalp and skin of neck,,
icd:9:17341,disease,Basal cell carcinoma of scalp and skin of neck,,
icd:9:17342,disease,Squamous cell carcinoma of scalp and skin of neck,,
icd:9:17349,disease,Other specified malignant neoplasm of scalp and skin of neck,,
icd:9:17350,disease,"Unspecified malignant neoplasm of skin of trunk, except scrotum",,
icd:9:17352,disease,"Squamous cell carcinoma of skin of trunk, except scrotum",,
icd:9:1737,disease,"Other malignant neoplasm of skin of lower limb, including hip",,
icd:9:17372,disease,"Squamous cell carcinoma of skin of lower limb, including hip",,
icd:9:1738,disease,Other malignant neoplasm of other specified sites of skin,,
icd:9:17380,disease,Unspecified malignant neoplasm of other specified sites of skin,,
icd:9:1740,disease,Malignant neoplasm of nipple and areola of female breast,,
icd:9:1741,disease,Malignant neoplasm of central portion of female breast,,
icd:9:1742,disease,Malignant neoplasm of upper-inner quadrant of female breast,,
icd:9:1743,disease,Malignant neoplasm of lower-inner quadrant of female breast,,
icd:9:1744,disease,Malignant neoplasm of upper-outer quadrant of female breast,,
icd:9:1745,disease,Malignant neoplasm of lower-outer quadrant of female breast,,
icd:9:1746,disease,Malignant neoplasm of axillary tail of female breast,,
icd:9:1748,disease,Malignant neoplasm of other specified sites of female breast,,
icd:9:1749,disease,"Malignant neoplasm of breast (female), unspecified",,
icd:9:1750,disease,Malignant neoplasm of nipple and areola of male breast,,
icd:9:1759,disease,Malignant neoplasm of other and unspecified sites of male breast,,
icd:9:179,disease,"Malignant neoplasm of uterus, part unspecified",,
icd:9:1800,disease,Malignant neoplasm of endocervix,,
icd:9:1808,disease,Malignant neoplasm of other specified sites of cervix,,
icd:9:1809,disease,"Malignant neoplasm of cervix uteri, unspecified site",,
icd:9:181,disease,Malignant neoplasm of placenta,,
icd:9:1820,disease,"Malignant neoplasm of corpus uteri, except isthmus",,
icd:9:1828,disease,Malignant neoplasm of other specified sites of body of uterus,,
icd:9:1830,disease,Malignant neoplasm of ovary,,
icd:9:1832,disease,Malignant neoplasm of fallopian tube,,
icd:9:1839,disease,"Malignant neoplasm of uterine adnexa, unspecified site",,
icd:9:1840,disease,Malignant neoplasm of vagina,,
icd:9:1841,disease,Malignant neoplasm of labia majora,,
icd:9:1844,disease,"Malignant neoplasm of vulva, unspecified site",,
icd:9:1849,disease,"Malignant neoplasm of female genital organ, site unspecified",,
icd:9:185,disease,Malignant neoplasm of prostate,,
icd:9:1869,disease,Malignant neoplasm of other and unspecified testis,,
icd:9:1872,disease,Malignant neoplasm of glans penis,,
icd:9:1876,disease,Malignant neoplasm of spermatic cord,,
icd:9:1880,disease,Malignant neoplasm of trigone of urinary bladder,,
icd:9:1881,disease,Malignant neoplasm of dome of urinary bladder,,
icd:9:1882,disease,Malignant neoplasm of lateral wall of urinary bladder,,
icd:9:1883,disease,Malignant neoplasm of anterior wall of urinary bladder,,
icd:9:1884,disease,Malignant neoplasm of posterior wall of urinary bladder,,
icd:9:1885,disease,Malignant neoplasm of bladder neck,,
icd:9:1886,disease,Malignant neoplasm of ureteric orifice,,
icd:9:1887,disease,Malignant neoplasm of urachus,,
icd:9:1888,disease,Malignant neoplasm of other specified sites of bladder,,
icd:9:1889,disease,"Malignant neoplasm of bladder, part unspecified",,
icd:9:1890,disease,"Malignant neoplasm of kidney, except pelvis",,
icd:9:1891,disease,Malignant neoplasm of renal pelvis,,
icd:9:1892,disease,Malignant neoplasm of ureter,,
icd:9:1910,disease,"Malignant neoplasm of cerebrum, except lobes and ventricles",,
icd:9:1911,disease,Malignant neoplasm of frontal lobe,,
icd:9:1912,disease,Malignant neoplasm of temporal lobe,,
icd:9:1913,disease,Malignant neoplasm of parietal lobe,,
icd:9:1914,disease,Malignant neoplasm of occipital lobe,,
icd:9:1915,disease,Malignant neoplasm of ventricles,,
icd:9:1916,disease,Malignant neoplasm of cerebellum nos,,
icd:9:1917,disease,Malignant neoplasm of brain stem,,
icd:9:1918,disease,Malignant neoplasm of other parts of brain,,
icd:9:1919,disease,"Malignant neoplasm of brain, unspecified",,
icd:9:1922,disease,Malignant neoplasm of spinal cord,,
icd:9:1923,disease,Malignant neoplasm of spinal meninges,,
icd:9:193,disease,Malignant neoplasm of thyroid gland,,
icd:9:1940,disease,Malignant neoplasm of adrenal gland,,
icd:9:1944,disease,Malignant neoplasm of pineal gland,,
icd:9:1950,disease,"Malignant neoplasm of head, face, and neck",,
icd:9:1951,disease,Malignant neoplasm of thorax,,
icd:9:1953,disease,Malignant neoplasm of pelvis,,
icd:9:1960,disease,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",,
icd:9:1961,disease,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,,
icd:9:1962,disease,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,,
icd:9:1963,disease,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,,
icd:9:1965,disease,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,,
icd:9:1966,disease,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,,
icd:9:1968,disease,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,,
icd:9:1970,disease,Secondary malignant neoplasm of lung,,
icd:9:1971,disease,Secondary malignant neoplasm of mediastinum,,
icd:9:1972,disease,Secondary malignant neoplasm of pleura,,
icd:9:1973,disease,Secondary malignant neoplasm of other respiratory organs,,
icd:9:1974,disease,Secondary malignant neoplasm of small intestine including duodenum,,
icd:9:1975,disease,Secondary malignant neoplasm of large intestine and rectum,,
icd:9:1976,disease,Secondary malignant neoplasm of retroperitoneum and peritoneum,,
icd:9:1977,disease,"Malignant neoplasm of liver, secondary",,
icd:9:1978,disease,Secondary malignant neoplasm of other digestive organs and spleen,,
icd:9:1981,disease,Secondary malignant neoplasm of other urinary organs,,
icd:9:1982,disease,Secondary malignant neoplasm of skin,,
icd:9:1983,disease,Secondary malignant neoplasm of brain and spinal cord,,
icd:9:1984,disease,Secondary malignant neoplasm of other parts of nervous system,,
icd:9:1985,disease,Secondary malignant neoplasm of bone and bone marrow,,
icd:9:1986,disease,Secondary malignant neoplasm of ovary,,
icd:9:1987,disease,Secondary malignant neoplasm of adrenal gland,,
icd:9:19882,disease,Secondary malignant neoplasm of genital organs,,
icd:9:19889,disease,Secondary malignant neoplasm of other specified sites,,
icd:9:1990,disease,Disseminated malignant neoplasm without specification of site,,
icd:9:1991,disease,Other malignant neoplasm without specification of site,,
icd:9:20010,disease,"Lymphosarcoma, unspecified site, extranodal and solid organ sites",,
icd:9:20018,disease,"Lymphosarcoma, lymph nodes of multiple sites",,
icd:9:20020,disease,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",,
icd:9:20023,disease,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes",,
icd:9:20028,disease,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites",,
icd:9:20030,disease,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites",,
icd:9:20040,disease,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",,
icd:9:20041,disease,"Mantle cell lymphoma, lymph nodes of head, face, and neck",,
icd:9:20043,disease,"Mantle cell lymphoma, intra-abdominal lymph nodes",,
icd:9:20045,disease,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",,
icd:9:20047,disease,"Mantle cell lymphoma, spleen",,
icd:9:20048,disease,"Mantle cell lymphoma, lymph nodes of multiple sites",,
icd:9:20050,disease,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites",,
icd:9:20051,disease,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck",,
icd:9:20070,disease,"Large cell lymphoma, unspecified site, extranodal and solid organ sites",,
icd:9:20071,disease,"Large cell lymphoma, lymph nodes of head, face, and neck",,
icd:9:20078,disease,"Large cell lymphoma, lymph nodes of multiple sites",,
icd:9:20080,disease,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites",,
icd:9:20108,disease,"Hodgkin's paragranuloma, lymph nodes of multiple sites",,
icd:9:20148,disease,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",,
icd:9:20150,disease,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",,
icd:9:20151,disease,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",,
icd:9:20152,disease,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",,
icd:9:20158,disease,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",,
icd:9:20190,disease,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",,
icd:9:20192,disease,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",,
