disease_name,disease_id,entity_id,drug_name,pmid_count,pmids
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Insulin,10,33252874 33859468 35309661 36072678 36698343 36699641 37278819 37922145 39611868 39890351
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Sulfonylurea Compounds,10,32656029 33315940 33694093 33983614 34539410 35928374 35966856 36159441 36429732 37038579
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Glucose,10,32704561 33384468 33575008 34360550 34759688 35071104 35170337 37315972 37552277 38212345
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Glyburide,10,33261004 34305396 34440028 34959305 35620596 36077003 36555498 37034291 37513365 37513920
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Pioglitazone,10,32500011 33098389 33816203 34315501 34681744 35628311 35848690 35893989 36647881 37144164
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Aspirin,10,32223318 34152419 34239442 34539583 34920734 35054496 36161214 36652191 36871000 37713477
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Thiazolidinediones,10,32363472 33011770 33926423 34349721 35796615 36295635 36523368 36551260 37241136 40246234
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Vitamin D,10,33020052 33789542 34660457 34976365 35157688 35800580 36407246 36647686 36684386 37111216
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Pregnancy_in_Diabetics,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Hemochromatosis,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Experimental,Rosiglitazone,10,32353383 32592921 33171401 33669222 34191257 35059243 35203063 36699084 37169280 37242462
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus_Neurogenic,Metformin,10,32377525 33310173 33442187 33664666 33668426 34904090 36145361 36355535 36407271 36619226
