dst,drug_label,src,weight_admissions,unique_patients,p_disease_given_drug,p_drug_given_disease
icd:10:A4151,atenolol,drug:atenolol,13,13,0.0008549256872287,0.0126953125
icd:10:A4152,furosemide,drug:furosemide,17,17,0.00024521117009,0.1619047619047619
icd:10:A4152,omeprazole,drug:omeprazole,15,15,0.0002049852410626,0.1428571428571428
icd:10:A4159,omeprazole,drug:omeprazole,66,64,0.0009019350606756,0.2012195121951219
icd:10:A4159,furosemide,drug:furosemide,43,43,0.0006202400184629,0.1310975609756097
icd:10:A4159,warfarin,drug:warfarin,18,17,0.0006230529595015,0.0548780487804878
icd:10:A4159,amlodipine,drug:amlodipine,15,15,0.0003617857745833,0.0457317073170731
icd:10:A4159,simvastatin,drug:simvastatin,13,13,0.0003724288088007,0.0396341463414634
icd:10:A4159,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.0335365853658536
icd:10:A4181,omeprazole,drug:omeprazole,46,45,0.0006286214059254,0.2149532710280373
icd:10:A4181,furosemide,drug:furosemide,36,35,0.0005192707131317,0.1682242990654205
icd:10:A4181,simvastatin,drug:simvastatin,21,21,0.0006016157680627,0.0981308411214953
icd:10:A4181,warfarin,drug:warfarin,19,18,0.0006576670128071,0.0887850467289719
icd:10:A4189,furosemide,drug:furosemide,218,217,0.0031444726517424,0.2326574172892209
icd:10:A4189,omeprazole,drug:omeprazole,147,145,0.0020088553624139,0.1568836712913553
icd:10:A4189,amlodipine,drug:amlodipine,55,54,0.0013265478401389,0.0586979722518676
icd:10:A4189,simvastatin,drug:simvastatin,44,44,0.001260528275941,0.0469583778014941
icd:10:A4189,levofloxacin,drug:levofloxacin,39,39,0.0027130434782608,0.0416221985058698
icd:10:A4189,warfarin,drug:warfarin,38,35,0.0013153340256143,0.0405549626467449
icd:10:A4189,lisinopril,drug:lisinopril,33,33,0.0006774094221492,0.0352187833511205
icd:10:A4189,atenolol,drug:atenolol,10,9,0.000657635144022,0.0106723585912486
icd:10:A419,omeprazole,drug:omeprazole,876,800,0.0119711380780583,0.1719332679097154
icd:10:A419,furosemide,drug:furosemide,864,831,0.0124624971151627,0.1695780176643768
icd:10:A419,levofloxacin,drug:levofloxacin,286,281,0.019895652173913,0.0561334641805691
icd:10:A419,simvastatin,drug:simvastatin,269,252,0.0077064115051853,0.0527968596663395
icd:10:A419,amlodipine,drug:amlodipine,262,253,0.006319191529389,0.051422963689892
icd:10:A419,warfarin,drug:warfarin,249,225,0.0086188992731048,0.0488714425907752
icd:10:A419,lisinopril,drug:lisinopril,182,178,0.0037360156009442,0.0357212953876349
icd:10:A419,atenolol,drug:atenolol,62,61,0.0040773378929369,0.0121687929342492
icd:10:A481,levofloxacin,drug:levofloxacin,12,12,0.0008347826086956,0.5
icd:10:B029,omeprazole,drug:omeprazole,13,12,0.0001776538755876,0.25
icd:10:B1921,furosemide,drug:furosemide,10,10,0.0001442418647588,0.625
icd:10:B20,omeprazole,drug:omeprazole,19,15,0.0002596479720126,0.1217948717948717
icd:10:B20,furosemide,drug:furosemide,14,12,0.0002019386106623,0.0897435897435897
icd:10:B20,amlodipine,drug:amlodipine,10,9,0.0002411905163888,0.0641025641025641
icd:10:B20,lisinopril,drug:lisinopril,10,10,0.0002052755824694,0.0641025641025641
icd:10:B349,omeprazole,drug:omeprazole,46,45,0.0006286214059254,0.1916666666666666
icd:10:B349,amlodipine,drug:amlodipine,23,23,0.0005547381876944,0.0958333333333333
icd:10:B349,lisinopril,drug:lisinopril,13,13,0.0002668582572103,0.0541666666666666
icd:10:B349,simvastatin,drug:simvastatin,11,11,0.0003151320689852,0.0458333333333333
icd:10:B3781,omeprazole,drug:omeprazole,18,18,0.0002459822892751,0.3529411764705882
icd:10:B59,omeprazole,drug:omeprazole,11,11,0.0001503225101126,0.3333333333333333
icd:10:C155,omeprazole,drug:omeprazole,14,12,0.0001913195583251,0.1473684210526315
icd:10:C160,omeprazole,drug:omeprazole,15,13,0.0002049852410626,0.1079136690647482
icd:10:C169,omeprazole,drug:omeprazole,12,12,0.0001639881928501,0.1621621621621621
icd:10:C180,furosemide,drug:furosemide,12,12,0.0001730902377105,0.1290322580645161
icd:10:C182,amlodipine,drug:amlodipine,17,17,0.0004100238778611,0.126865671641791
icd:10:C182,omeprazole,drug:omeprazole,15,14,0.0002049852410626,0.1119402985074626
icd:10:C182,simvastatin,drug:simvastatin,11,11,0.0003151320689852,0.0820895522388059
icd:10:C182,furosemide,drug:furosemide,10,10,0.0001442418647588,0.0746268656716417
icd:10:C184,simvastatin,drug:simvastatin,10,10,0.0002864836990775,0.144927536231884
icd:10:C187,omeprazole,drug:omeprazole,12,12,0.0001639881928501,0.0821917808219178
icd:10:C19,omeprazole,drug:omeprazole,14,10,0.0001913195583251,0.14
icd:10:C20,omeprazole,drug:omeprazole,17,14,0.0002323166065376,0.0723404255319148
icd:10:C20,lisinopril,drug:lisinopril,13,11,0.0002668582572103,0.0553191489361702
icd:10:C20,amlodipine,drug:amlodipine,10,9,0.0002411905163888,0.0425531914893617
icd:10:C220,omeprazole,drug:omeprazole,91,70,0.0012435771291133,0.2382198952879581
icd:10:C220,furosemide,drug:furosemide,64,58,0.0009231479344564,0.1675392670157068
icd:10:C220,lisinopril,drug:lisinopril,52,41,0.0010674330288412,0.1361256544502617
icd:10:C220,amlodipine,drug:amlodipine,41,35,0.0009888811171944,0.1073298429319371
icd:10:C220,simvastatin,drug:simvastatin,19,13,0.0005443190282472,0.0497382198952879
icd:10:C220,atenolol,drug:atenolol,11,7,0.0007233986584243,0.0287958115183246
icd:10:C221,omeprazole,drug:omeprazole,21,21,0.0002869793374877,0.1265060240963855
icd:10:C221,amlodipine,drug:amlodipine,15,13,0.0003617857745833,0.0903614457831325
icd:10:C221,furosemide,drug:furosemide,13,13,0.0001875144241864,0.0783132530120482
icd:10:C221,lisinopril,drug:lisinopril,13,13,0.0002668582572103,0.0783132530120482
icd:10:C240,omeprazole,drug:omeprazole,11,11,0.0001503225101126,0.1195652173913043
icd:10:C250,omeprazole,drug:omeprazole,67,61,0.0009156007434131,0.1515837104072398
icd:10:C250,lisinopril,drug:lisinopril,44,42,0.0009032125628656,0.0995475113122171
icd:10:C250,amlodipine,drug:amlodipine,37,33,0.0008924049106389,0.083710407239819
icd:10:C250,simvastatin,drug:simvastatin,15,15,0.0004297255486162,0.0339366515837104
icd:10:C250,atenolol,drug:atenolol,14,13,0.0009206892016309,0.0316742081447963
icd:10:C252,omeprazole,drug:omeprazole,19,18,0.0002596479720126,0.296875
icd:10:C259,omeprazole,drug:omeprazole,27,23,0.0003689734339127,0.2195121951219512
icd:10:C259,amlodipine,drug:amlodipine,12,12,0.0002894286196666,0.0975609756097561
icd:10:C259,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.089430894308943
icd:10:C3401,omeprazole,drug:omeprazole,13,13,0.0001776538755876,0.276595744680851
icd:10:C3411,omeprazole,drug:omeprazole,50,48,0.0006832841368754,0.1479289940828402
icd:10:C3411,furosemide,drug:furosemide,37,33,0.0005336948996076,0.1094674556213017
icd:10:C3411,amlodipine,drug:amlodipine,34,30,0.0008200477557222,0.1005917159763313
icd:10:C3411,simvastatin,drug:simvastatin,25,24,0.0007162092476938,0.0739644970414201
icd:10:C3411,lisinopril,drug:lisinopril,20,20,0.0004105511649389,0.059171597633136
icd:10:C3412,omeprazole,drug:omeprazole,69,66,0.0009429321088881,0.2613636363636363
icd:10:C3412,amlodipine,drug:amlodipine,29,28,0.0006994524975277,0.1098484848484848
icd:10:C3412,furosemide,drug:furosemide,20,20,0.0002884837295176,0.0757575757575757
icd:10:C3412,lisinopril,drug:lisinopril,19,18,0.0003900236066919,0.0719696969696969
icd:10:C3412,simvastatin,drug:simvastatin,16,14,0.000458373918524,0.0606060606060606
icd:10:C342,omeprazole,drug:omeprazole,14,13,0.0001913195583251,0.1944444444444444
icd:10:C3431,omeprazole,drug:omeprazole,45,43,0.0006149557231879,0.2542372881355932
icd:10:C3431,simvastatin,drug:simvastatin,24,24,0.000687560877786,0.135593220338983
icd:10:C3431,amlodipine,drug:amlodipine,23,23,0.0005547381876944,0.1299435028248587
icd:10:C3431,furosemide,drug:furosemide,21,20,0.0003029079159935,0.1186440677966101
icd:10:C3431,lisinopril,drug:lisinopril,14,13,0.0002873858154572,0.0790960451977401
icd:10:C3432,omeprazole,drug:omeprazole,32,30,0.0004373018476003,0.1963190184049079
icd:10:C3432,amlodipine,drug:amlodipine,20,18,0.0004823810327777,0.1226993865030674
icd:10:C3432,lisinopril,drug:lisinopril,16,16,0.0003284409319511,0.0981595092024539
icd:10:C3432,simvastatin,drug:simvastatin,13,13,0.0003724288088007,0.0797546012269938
icd:10:C3490,omeprazole,drug:omeprazole,22,20,0.0003006450202252,0.1981981981981982
icd:10:C3490,furosemide,drug:furosemide,19,19,0.0002740595430417,0.1711711711711711
icd:10:C3490,amlodipine,drug:amlodipine,18,16,0.0004341429295,0.1621621621621621
icd:10:C3490,lisinopril,drug:lisinopril,14,14,0.0002873858154572,0.1261261261261261
icd:10:C3492,omeprazole,drug:omeprazole,12,12,0.0001639881928501,0.2790697674418604
icd:10:C50911,omeprazole,drug:omeprazole,19,19,0.0002596479720126,0.1596638655462184
icd:10:C50911,furosemide,drug:furosemide,11,10,0.0001586660512347,0.0924369747899159
icd:10:C50912,omeprazole,drug:omeprazole,12,12,0.0001639881928501,0.1052631578947368
icd:10:C50912,furosemide,drug:furosemide,10,10,0.0001442418647588,0.087719298245614
icd:10:C541,omeprazole,drug:omeprazole,51,48,0.0006969498196129,0.1440677966101695
icd:10:C541,amlodipine,drug:amlodipine,45,42,0.00108535732375,0.1271186440677966
icd:10:C541,lisinopril,drug:lisinopril,44,42,0.0009032125628656,0.1242937853107344
icd:10:C541,furosemide,drug:furosemide,36,29,0.0005192707131317,0.1016949152542372
icd:10:C541,simvastatin,drug:simvastatin,32,31,0.000916747837048,0.0903954802259887
icd:10:C541,atenolol,drug:atenolol,21,20,0.0013810338024464,0.059322033898305
icd:10:C561,amlodipine,drug:amlodipine,12,11,0.0002894286196666,0.1212121212121212
icd:10:C562,omeprazole,drug:omeprazole,16,15,0.0002186509238001,0.1300813008130081
icd:10:C562,lisinopril,drug:lisinopril,12,12,0.0002463306989633,0.0975609756097561
icd:10:C569,omeprazole,drug:omeprazole,18,15,0.0002459822892751,0.1636363636363636
icd:10:C61,amlodipine,drug:amlodipine,52,51,0.0012541906852222,0.135064935064935
icd:10:C61,omeprazole,drug:omeprazole,45,44,0.0006149557231879,0.1168831168831168
icd:10:C61,simvastatin,drug:simvastatin,43,43,0.0012318799060333,0.1116883116883116
icd:10:C61,lisinopril,drug:lisinopril,28,28,0.0005747716309145,0.0727272727272727
icd:10:C61,atenolol,drug:atenolol,17,17,0.0011179797448375,0.0441558441558441
icd:10:C61,furosemide,drug:furosemide,14,14,0.0002019386106623,0.0363636363636363
icd:10:C641,omeprazole,drug:omeprazole,30,29,0.0004099704821252,0.189873417721519
icd:10:C641,amlodipine,drug:amlodipine,24,23,0.0005788572393333,0.1518987341772151
icd:10:C641,simvastatin,drug:simvastatin,20,19,0.000572967398155,0.1265822784810126
icd:10:C642,omeprazole,drug:omeprazole,31,31,0.0004236361648627,0.1504854368932038
icd:10:C642,amlodipine,drug:amlodipine,28,26,0.0006753334458889,0.1359223300970873
icd:10:C642,simvastatin,drug:simvastatin,17,17,0.0004870222884317,0.0825242718446602
icd:10:C642,lisinopril,drug:lisinopril,12,12,0.0002463306989633,0.058252427184466
icd:10:C642,furosemide,drug:furosemide,12,10,0.0001730902377105,0.058252427184466
icd:10:C642,atenolol,drug:atenolol,10,10,0.000657635144022,0.0485436893203883
icd:10:C678,amlodipine,drug:amlodipine,12,10,0.0002894286196666,0.2264150943396226
icd:10:C679,amlodipine,drug:amlodipine,22,19,0.0005306191360555,0.1437908496732026
icd:10:C679,furosemide,drug:furosemide,20,19,0.0002884837295176,0.130718954248366
icd:10:C679,simvastatin,drug:simvastatin,16,15,0.000458373918524,0.1045751633986928
icd:10:C679,omeprazole,drug:omeprazole,13,12,0.0001776538755876,0.0849673202614379
icd:10:C679,atenolol,drug:atenolol,13,12,0.0008549256872287,0.0849673202614379
icd:10:C679,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.0718954248366013
icd:10:C710,omeprazole,drug:omeprazole,10,10,0.000136656827375,0.1818181818181818
icd:10:C711,amlodipine,drug:amlodipine,27,22,0.00065121439425,0.1467391304347826
icd:10:C711,omeprazole,drug:omeprazole,21,18,0.0002869793374877,0.1141304347826086
icd:10:C711,lisinopril,drug:lisinopril,15,13,0.0003079133737041,0.0815217391304347
icd:10:C711,simvastatin,drug:simvastatin,12,11,0.000343780438893,0.0652173913043478
icd:10:C712,lisinopril,drug:lisinopril,19,15,0.0003900236066919,0.1407407407407407
icd:10:C712,omeprazole,drug:omeprazole,17,16,0.0002323166065376,0.1259259259259259
icd:10:C712,amlodipine,drug:amlodipine,14,13,0.0003376667229444,0.1037037037037037
icd:10:C712,simvastatin,drug:simvastatin,10,8,0.0002864836990775,0.074074074074074
icd:10:C713,lisinopril,drug:lisinopril,14,11,0.0002873858154572,0.159090909090909
icd:10:C713,omeprazole,drug:omeprazole,11,9,0.0001503225101126,0.125
icd:10:C719,omeprazole,drug:omeprazole,15,15,0.0002049852410626,0.3061224489795918
icd:10:C73,omeprazole,drug:omeprazole,39,38,0.0005329616267628,0.2280701754385964
icd:10:C73,amlodipine,drug:amlodipine,30,27,0.0007235715491666,0.175438596491228
icd:10:C73,lisinopril,drug:lisinopril,19,17,0.0003900236066919,0.1111111111111111
icd:10:C73,simvastatin,drug:simvastatin,13,12,0.0003724288088007,0.0760233918128654
icd:10:C73,furosemide,drug:furosemide,10,9,0.0001442418647588,0.0584795321637426
icd:10:C7800,furosemide,drug:furosemide,18,18,0.0002596353565658,0.45
icd:10:C7801,omeprazole,drug:omeprazole,23,21,0.0003143107029627,0.1575342465753424
icd:10:C7801,furosemide,drug:furosemide,21,21,0.0003029079159935,0.1438356164383561
icd:10:C7801,amlodipine,drug:amlodipine,14,14,0.0003376667229444,0.0958904109589041
icd:10:C7801,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.0753424657534246
icd:10:C7801,simvastatin,drug:simvastatin,10,10,0.0002864836990775,0.0684931506849315
icd:10:C7802,furosemide,drug:furosemide,17,16,0.00024521117009,0.1393442622950819
icd:10:C7802,omeprazole,drug:omeprazole,17,16,0.0002323166065376,0.1393442622950819
icd:10:C7802,amlodipine,drug:amlodipine,15,14,0.0003617857745833,0.1229508196721311
icd:10:C7802,lisinopril,drug:lisinopril,14,13,0.0002873858154572,0.1147540983606557
icd:10:C782,omeprazole,drug:omeprazole,13,12,0.0001776538755876,0.1830985915492957
icd:10:C782,furosemide,drug:furosemide,12,12,0.0001730902377105,0.1690140845070422
icd:10:C784,omeprazole,drug:omeprazole,14,13,0.0001913195583251,0.1971830985915492
icd:10:C786,omeprazole,drug:omeprazole,74,67,0.0010112605225757,0.2049861495844875
icd:10:C786,furosemide,drug:furosemide,24,24,0.0003461804754211,0.0664819944598338
icd:10:C786,amlodipine,drug:amlodipine,21,20,0.0005065000844166,0.0581717451523545
icd:10:C786,lisinopril,drug:lisinopril,17,17,0.000348968490198,0.0470914127423822
icd:10:C786,simvastatin,drug:simvastatin,15,15,0.0004297255486162,0.0415512465373961
icd:10:C787,omeprazole,drug:omeprazole,63,60,0.0008609380124631,0.2359550561797752
icd:10:C787,amlodipine,drug:amlodipine,36,36,0.000868285859,0.1348314606741573
icd:10:C787,furosemide,drug:furosemide,23,23,0.0003317562889453,0.0861423220973782
icd:10:C787,lisinopril,drug:lisinopril,16,15,0.0003284409319511,0.0599250936329588
icd:10:C7931,omeprazole,drug:omeprazole,191,162,0.0026101454028643,0.2693935119887165
icd:10:C7931,lisinopril,drug:lisinopril,93,79,0.001909062916966,0.1311706629055007
icd:10:C7931,amlodipine,drug:amlodipine,92,77,0.0022189527507778,0.1297602256699576
icd:10:C7931,simvastatin,drug:simvastatin,49,40,0.0014037701254798,0.0691114245416079
icd:10:C7931,furosemide,drug:furosemide,42,35,0.000605815831987,0.0592383638928067
icd:10:C7931,atenolol,drug:atenolol,25,22,0.0016440878600552,0.0352609308885754
icd:10:C7932,omeprazole,drug:omeprazole,17,16,0.0002323166065376,0.293103448275862
icd:10:C7949,omeprazole,drug:omeprazole,18,17,0.0002459822892751,0.2903225806451613
icd:10:C7949,amlodipine,drug:amlodipine,10,10,0.0002411905163888,0.1612903225806451
icd:10:C7951,omeprazole,drug:omeprazole,109,98,0.0014895594183885,0.2449438202247191
icd:10:C7951,amlodipine,drug:amlodipine,71,65,0.0017124526663611,0.1595505617977528
icd:10:C7951,lisinopril,drug:lisinopril,46,46,0.0009442676793595,0.1033707865168539
icd:10:C7951,simvastatin,drug:simvastatin,34,30,0.0009740445768635,0.0764044943820224
icd:10:C7951,furosemide,drug:furosemide,23,22,0.0003317562889453,0.0516853932584269
icd:10:C7951,atenolol,drug:atenolol,19,18,0.0012495067736419,0.0426966292134831
icd:10:C7989,omeprazole,drug:omeprazole,19,19,0.0002596479720126,0.1570247933884297
icd:10:C7989,furosemide,drug:furosemide,15,15,0.0002163627971382,0.1239669421487603
icd:10:C7989,amlodipine,drug:amlodipine,14,14,0.0003376667229444,0.1157024793388429
icd:10:C7989,lisinopril,drug:lisinopril,13,13,0.0002668582572103,0.1074380165289256
icd:10:C7A1,omeprazole,drug:omeprazole,10,10,0.000136656827375,0.2
icd:10:C7B8,omeprazole,drug:omeprazole,10,8,0.000136656827375,0.2564102564102563
icd:10:C801,amlodipine,drug:amlodipine,11,11,0.0002653095680277,0.2037037037037036
icd:10:C8331,omeprazole,drug:omeprazole,10,9,0.000136656827375,0.2857142857142857
icd:10:C8338,omeprazole,drug:omeprazole,24,22,0.0003279763857002,0.1904761904761904
icd:10:C8338,furosemide,drug:furosemide,15,14,0.0002163627971382,0.119047619047619
icd:10:C8339,omeprazole,drug:omeprazole,24,23,0.0003279763857002,0.1538461538461538
icd:10:C8339,amlodipine,drug:amlodipine,21,19,0.0005065000844166,0.1346153846153846
icd:10:C8339,lisinopril,drug:lisinopril,16,15,0.0003284409319511,0.1025641025641025
icd:10:C8339,simvastatin,drug:simvastatin,15,15,0.0004297255486162,0.0961538461538461
icd:10:C9000,furosemide,drug:furosemide,119,112,0.00171647819063,0.3661538461538461
icd:10:C9000,omeprazole,drug:omeprazole,99,69,0.0013529025910134,0.3046153846153846
icd:10:C9000,amlodipine,drug:amlodipine,66,47,0.0015918574081667,0.203076923076923
icd:10:C9000,levofloxacin,drug:levofloxacin,41,39,0.0028521739130434,0.1261538461538461
icd:10:C9000,lisinopril,drug:lisinopril,26,21,0.0005337165144206,0.08
icd:10:C9000,atenolol,drug:atenolol,12,11,0.0007891621728265,0.0369230769230769
icd:10:C9002,omeprazole,drug:omeprazole,14,12,0.0001913195583251,0.2592592592592592
icd:10:C9002,amlodipine,drug:amlodipine,10,8,0.0002411905163888,0.1851851851851851
icd:10:C9100,omeprazole,drug:omeprazole,10,9,0.000136656827375,0.144927536231884
icd:10:C9100,lisinopril,drug:lisinopril,10,9,0.0002052755824694,0.144927536231884
icd:10:C9110,furosemide,drug:furosemide,15,14,0.0002163627971382,0.234375
icd:10:C9110,amlodipine,drug:amlodipine,10,5,0.0002411905163888,0.15625
icd:10:C9200,furosemide,drug:furosemide,49,48,0.0007067851373182,0.1627906976744186
icd:10:C9200,omeprazole,drug:omeprazole,39,34,0.0005329616267628,0.1295681063122923
icd:10:C9200,amlodipine,drug:amlodipine,34,31,0.0008200477557222,0.1129568106312292
icd:10:C9200,levofloxacin,drug:levofloxacin,33,33,0.002295652173913,0.1096345514950166
icd:10:C9200,lisinopril,drug:lisinopril,26,23,0.0005337165144206,0.0863787375415282
icd:10:C9200,simvastatin,drug:simvastatin,17,17,0.0004870222884317,0.0564784053156146
icd:10:C9200,atenolol,drug:atenolol,12,11,0.0007891621728265,0.0398671096345514
icd:10:C9202,omeprazole,drug:omeprazole,18,10,0.0002459822892751,0.2686567164179104
icd:10:C9202,furosemide,drug:furosemide,11,10,0.0001586660512347,0.1641791044776119
icd:10:C9202,amlodipine,drug:amlodipine,10,10,0.0002411905163888,0.1492537313432835
icd:10:D110,lisinopril,drug:lisinopril,10,10,0.0002052755824694,0.25
icd:10:D120,omeprazole,drug:omeprazole,11,9,0.0001503225101126,0.189655172413793
icd:10:D151,furosemide,drug:furosemide,12,12,0.0001730902377105,0.48
icd:10:D251,amlodipine,drug:amlodipine,13,13,0.0003135476713055,0.0702702702702702
icd:10:D259,amlodipine,drug:amlodipine,17,16,0.0004100238778611,0.0708333333333333
icd:10:D259,omeprazole,drug:omeprazole,17,17,0.0002323166065376,0.0708333333333333
icd:10:D259,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.0458333333333333
icd:10:D320,lisinopril,drug:lisinopril,34,32,0.0006979369803961,0.1164383561643835
icd:10:D320,amlodipine,drug:amlodipine,33,32,0.0007959287040833,0.1130136986301369
icd:10:D320,omeprazole,drug:omeprazole,27,27,0.0003689734339127,0.0924657534246575
icd:10:D320,simvastatin,drug:simvastatin,24,20,0.000687560877786,0.0821917808219178
icd:10:D320,furosemide,drug:furosemide,12,12,0.0001730902377105,0.0410958904109589
icd:10:D333,lisinopril,drug:lisinopril,11,11,0.0002258031407164,0.2391304347826087
icd:10:D3502,amlodipine,drug:amlodipine,10,10,0.0002411905163888,0.3125
icd:10:D352,amlodipine,drug:amlodipine,19,18,0.0004582619811389,0.1428571428571428
icd:10:D352,lisinopril,drug:lisinopril,17,15,0.000348968490198,0.1278195488721804
icd:10:D352,omeprazole,drug:omeprazole,13,12,0.0001776538755876,0.0977443609022556
icd:10:D469,omeprazole,drug:omeprazole,14,14,0.0001913195583251,0.1842105263157894
icd:10:D469,amlodipine,drug:amlodipine,13,11,0.0003135476713055,0.1710526315789473
icd:10:D469,furosemide,drug:furosemide,12,11,0.0001730902377105,0.1578947368421052
icd:10:D500,omeprazole,drug:omeprazole,28,26,0.0003826391166502,0.193103448275862
icd:10:D500,furosemide,drug:furosemide,25,25,0.000360604661897,0.1724137931034482
icd:10:D500,amlodipine,drug:amlodipine,17,16,0.0004100238778611,0.1172413793103448
