dst,distinct_drugs,admissions,patients,disease_label
icd:9:4829,8,739,732,"Bacterial pneumonia, unspecified"
icd:9:431,8,736,727,Intracerebral hemorrhage
icd:9:43310,8,735,692,Occlusion and stenosis of carotid artery without mention of cerebral infarction
icd:9:00845,8,704,642,Intestinal infection due to Clostridium difficile
icd:9:27651,8,680,658,Dehydration
icd:9:78060,8,661,626,"Fever, unspecified"
icd:9:44021,8,660,577,Atherosclerosis of native arteries of the extremities with intermittent claudication
icd:9:4240,8,655,638,Mitral valve disorders
icd:9:5789,8,635,595,"Hemorrhage of gastrointestinal tract, unspecified"
icd:9:2761,8,634,582,Hyposmolality and/or hyponatremia
icd:10:A4151,8,623,586,Sepsis due to Escherichia coli [E. coli]
icd:9:42831,8,612,606,Acute diastolic heart failure
icd:9:49392,8,610,495,"Asthma, unspecified type, with (acute) exacerbation"
icd:9:03842,8,604,573,Septicemia due to escherichia coli [E. coli]
icd:9:99674,8,600,550,"Other complications due to other vascular device, implant, and graft"
icd:10:T814XXA,8,596,563,"Infection following a procedure, initial encounter"
icd:9:40391,8,595,530,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
icd:10:A4189,8,584,576,Other specified sepsis
icd:9:45341,8,565,549,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
icd:9:82021,8,557,544,Closed fracture of intertrochanteric section of neck of femur
icd:9:56211,8,553,490,Diverticulitis of colon (without mention of hemorrhage)
icd:9:4580,8,537,519,Orthostatic hypotension
icd:10:G92,8,511,484,Toxic encephalopathy
icd:9:25060,8,496,392,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
icd:9:71535,8,489,466,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh"
icd:9:42821,8,477,474,Acute systolic heart failure
icd:9:1983,8,471,429,Secondary malignant neoplasm of brain and spinal cord
icd:9:78900,8,464,430,"Abdominal pain, unspecified site"
icd:9:5589,8,452,438,Other and unspecified noninfectious gastroenteritis and colitis
icd:9:5119,8,448,413,Unspecified pleural effusion
icd:9:99681,8,446,381,Complications of transplanted kidney
icd:9:5609,8,429,366,Unspecified intestinal obstruction
icd:9:5781,8,422,410,Blood in stool
icd:9:34982,8,410,402,Toxic encephalopathy
icd:9:78701,8,405,384,Nausea with vomiting
icd:9:5761,8,399,336,Cholangitis
icd:9:78609,8,374,366,Other respiratory abnormalities
icd:9:55321,8,368,335,Incisional hernia without mention of obstruction or gangrene
icd:9:57400,8,366,358,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
icd:9:45981,8,364,309,"Venous (peripheral) insufficiency, unspecified"
icd:10:J159,8,353,351,Unspecified bacterial pneumonia
icd:9:1623,8,347,336,"Malignant neoplasm of upper lobe, bronchus or lung"
icd:9:78079,8,345,340,Other malaise and fatigue
icd:9:99664,8,338,286,Infection and inflammatory reaction due to indwelling urinary catheter
icd:9:4659,8,331,325,Acute upper respiratory infections of unspecified site
icd:9:99811,8,325,323,Hemorrhage complicating a procedure
icd:9:25082,8,314,291,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
icd:9:4871,8,314,309,Influenza with other respiratory manifestations
icd:9:57451,8,310,299,"Calculus of bile duct without mention of cholecystitis, with obstruction"
icd:9:4660,8,303,291,Acute bronchitis
icd:9:6827,8,302,283,"Cellulitis and abscess of foot, except toes"
icd:9:99662,8,297,264,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
icd:9:78097,8,275,272,Altered mental status
icd:9:4239,8,268,261,Unspecified disease of pericardium
icd:9:7907,8,267,258,Bacteremia
icd:9:1970,8,240,227,Secondary malignant neoplasm of lung
icd:9:78901,8,237,219,"Abdominal pain, right upper quadrant"
icd:9:28800,8,233,218,"Neutropenia, unspecified"
icd:9:2536,8,224,219,Other disorders of neurohypophysis
icd:9:07999,8,218,214,Unspecified viral infection
icd:9:99659,8,208,197,"Mechanical complication due to other implant and internal device, not elsewhere classified"
icd:9:5921,8,200,193,Calculus of ureter
icd:9:20280,8,196,182,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
icd:9:99762,8,196,172,Infection (chronic) of amputation stump
icd:9:5750,8,191,188,Acute cholecystitis
icd:9:5920,8,188,182,Calculus of kidney
icd:9:59080,8,185,180,"Pyelonephritis, unspecified"
icd:9:51181,8,171,159,Malignant pleural effusion
icd:9:56081,8,157,152,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
icd:9:59010,8,148,138,Acute pyelonephritis without lesion of renal medullary necrosis
icd:9:9974,8,122,117,"Digestive system complications, not elsewhere classified"
icd:10:I350,7,1622,1512,Nonrheumatic aortic (valve) stenosis
icd:10:I25110,7,1586,1448,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
icd:10:I2510,7,1585,1560,Atherosclerotic heart disease of native coronary artery without angina pectoris
icd:10:I5023,7,1222,934,Acute on chronic systolic (congestive) heart failure
icd:10:I480,7,1083,1005,Paroxysmal atrial fibrillation
icd:9:42843,7,1070,923,Acute on chronic combined systolic and diastolic heart failure
icd:10:R0789,7,997,931,Other chest pain
icd:9:51881,7,955,902,Acute respiratory failure
icd:10:I132,7,922,710,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
icd:10:K7031,7,837,588,Alcoholic cirrhosis of liver with ascites
icd:10:R55,7,764,747,Syncope and collapse
icd:10:J690,7,704,620,Pneumonitis due to inhalation of food and vomit
icd:9:42732,7,702,667,Atrial flutter
icd:9:4271,7,681,545,Paroxysmal ventricular tachycardia
icd:10:J9601,7,676,660,Acute respiratory failure with hypoxia
icd:10:I25119,7,657,653,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
icd:10:M1711,7,593,593,"Unilateral primary osteoarthritis, right knee"
icd:10:I25118,7,550,531,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
icd:9:4019,7,550,533,Unspecified essential hypertension
icd:10:L03116,7,541,443,Cellulitis of left lower limb
icd:9:71596,7,535,505,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
icd:10:I340,7,516,503,Nonrheumatic mitral (valve) insufficiency
icd:10:M1712,7,514,514,"Unilateral primary osteoarthritis, left knee"
icd:10:E1169,7,475,389,Type 2 diabetes mellitus with other specified complication
icd:9:99672,7,454,428,"Other complications due to other cardiac device, implant, and graft"
icd:9:99673,7,449,355,"Other complications due to renal dialysis device, implant, and graft"
icd:9:29181,7,447,307,Alcohol withdrawal
icd:10:L03115,7,446,391,Cellulitis of right lower limb
icd:9:5722,7,439,289,Hepatic encephalopathy
icd:10:R079,7,436,411,"Chest pain, unspecified"
icd:9:72210,7,435,412,Displacement of lumbar intervertebral disc without myelopathy
icd:10:A084,7,418,384,"Viral intestinal infection, unspecified"
icd:9:42781,7,414,412,Sinoatrial node dysfunction
icd:9:4414,7,413,407,Abdominal aneurysm without mention of rupture
icd:10:I951,7,410,389,Orthostatic hypotension
icd:9:4359,7,408,400,Unspecified transient cerebral ischemia
icd:10:E871,7,402,371,Hypo-osmolality and hyponatremia
icd:9:60001,7,401,395,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
icd:9:78906,7,384,353,"Abdominal pain, epigastric"
icd:9:1550,7,376,306,"Malignant neoplasm of liver, primary"
icd:10:E1151,7,371,319,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
icd:9:73313,7,369,349,Pathologic fracture of vertebrae
icd:10:I714,7,366,355,"Abdominal aortic aneurysm, without rupture"
icd:9:4373,7,366,326,"Cerebral aneurysm, nonruptured"
icd:10:J45901,7,353,300,Unspecified asthma with (acute) exacerbation
icd:10:J90,7,351,327,"Pleural effusion, not elsewhere classified"
icd:10:M1611,7,347,345,"Unilateral primary osteoarthritis, right hip"
icd:10:E222,7,345,321,Syndrome of inappropriate secretion of antidiuretic hormone
icd:9:53081,7,333,324,Esophageal reflux
icd:9:7804,7,311,308,Dizziness and giddiness
icd:10:K8590,7,305,239,"Acute pancreatitis without necrosis or infection, unspecified"
icd:10:R509,7,305,286,"Fever, unspecified"
icd:9:56400,7,303,285,"Constipation, unspecified"
icd:9:78791,7,303,265,Diarrhea
icd:10:I471,7,300,285,Supraventricular tachycardia
icd:9:72402,7,295,290,"Spinal stenosis, lumbar region, without neurogenic claudication"
icd:9:44022,7,290,275,Atherosclerosis of native arteries of the extremities with rest pain
icd:10:J9621,7,288,264,Acute and chronic respiratory failure with hypoxia
icd:10:M1612,7,286,285,"Unilateral primary osteoarthritis, left hip"
icd:9:20300,7,282,239,"Multiple myeloma, without mention of having achieved remission"
icd:9:99812,7,282,277,Hematoma complicating a procedure
icd:9:4260,7,281,277,"Atrioventricular block, complete"
icd:9:78039,7,281,275,Other convulsions
icd:9:03849,7,275,266,Other septicemia due to gram-negative organisms
icd:10:I639,7,274,274,"Cerebral infarction, unspecified"
icd:9:34590,7,273,254,"Epilepsy, unspecified, without mention of intractable epilepsy"
icd:9:78909,7,270,266,"Abdominal pain, other specified site"
icd:9:185,7,267,262,Malignant neoplasm of prostate
icd:9:8208,7,262,259,Closed fracture of unspecified part of neck of femur
icd:9:27401,7,260,224,Acute gouty arthropathy
icd:10:K529,7,252,242,"Noninfective gastroenteritis and colitis, unspecified"
icd:9:71595,7,250,243,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh"
icd:9:41400,7,249,229,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
icd:9:8054,7,249,247,Closed fracture of lumbar vertebra without mention of spinal cord injury
icd:9:0380,7,244,239,Streptococcal septicemia
icd:9:1985,7,244,224,Secondary malignant neoplasm of bone and bone marrow
icd:9:44422,7,244,237,Arterial embolism and thrombosis of lower extremity
icd:9:7840,7,242,230,Headache
icd:10:S72141A,7,239,239,"Displaced intertrochanteric fracture of right femur, initial encounter for closed fracture"
icd:9:51884,7,239,218,Acute and chronic respiratory failure
icd:9:25070,7,234,217,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
icd:10:J069,7,233,223,"Acute upper respiratory infection, unspecified"
icd:10:G459,7,231,226,"Transient cerebral ischemic attack, unspecified"
icd:9:99666,7,231,203,Infection and inflammatory reaction due to internal joint prosthesis
icd:9:2859,7,227,224,"Anemia, unspecified"
icd:10:M179,7,226,218,"Osteoarthritis of knee, unspecified"
icd:10:S2242XA,7,225,222,"Multiple fractures of ribs, left side, initial encounter for closed fracture"
icd:9:57410,7,225,224,"Calculus of gallbladder with other cholecystitis, without mention of obstruction"
icd:9:41402,7,224,209,Coronary atherosclerosis of autologous vein bypass graft
icd:10:I63412,7,223,222,Cerebral infarction due to embolism of left middle cerebral artery
icd:9:99931,7,222,211,Other and unspecified infection due to central venous catheter
icd:10:K5732,7,221,210,Diverticulitis of large intestine without perforation or abscess without bleeding
icd:9:4589,7,221,220,"Hypotension, unspecified"
icd:9:7242,7,219,215,Lumbago
icd:9:78605,7,216,216,Shortness of breath
icd:9:6823,7,215,203,Cellulitis and abscess of upper arm and forearm
icd:10:S72142A,7,213,213,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture"
icd:10:C9200,7,210,197,"Acute myeloblastic leukemia, not having achieved remission"
icd:9:51919,7,210,179,Other diseases of trachea and bronchus
icd:9:51189,7,203,175,"Other specified forms of effusion, except tuberculous"
icd:9:1625,7,202,195,"Malignant neoplasm of lower lobe, bronchus or lung"
icd:9:80502,7,201,201,Closed fracture of second cervical vertebra
icd:9:7812,7,198,194,Abnormality of gait
icd:9:5693,7,196,195,Hemorrhage of rectum and anus
icd:9:8052,7,190,180,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
icd:9:8082,7,190,187,Closed fracture of pubis
icd:9:82009,7,190,190,Other closed transcervical fracture of neck of femur
icd:9:4412,7,183,180,Thoracic aneurysm without mention of rupture
icd:9:99667,7,183,171,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft"
icd:10:K5720,7,182,160,Diverticulitis of large intestine with perforation and abscess without bleeding
icd:9:33819,7,178,169,Other acute pain
icd:9:7295,7,177,173,Pain in limb
icd:9:1629,7,172,163,"Malignant neoplasm of bronchus and lung, unspecified"
icd:9:49122,7,169,162,Obstructive chronic bronchitis with acute bronchitis
icd:10:I6340,7,168,167,Cerebral infarction due to embolism of unspecified cerebral artery
icd:9:99749,7,167,156,Other digestive system complications
icd:9:44031,7,165,141,Atherosclerosis of autologous vein bypass graft of the extremities
icd:9:6822,7,164,150,Cellulitis and abscess of trunk
icd:9:515,7,161,145,Postinflammatory pulmonary fibrosis
icd:9:5570,7,152,148,Acute vascular insufficiency of intestine
icd:9:38611,7,150,149,Benign paroxysmal positional vertigo
icd:9:7245,7,148,147,"Backache, unspecified"
icd:9:03811,7,145,145,Methicillin susceptible Staphylococcus aureus septicemia
icd:9:7336,7,144,135,Tietze's disease
icd:10:J111,7,143,140,Influenza due to unidentified influenza virus with other respiratory manifestations
icd:10:T8453XA,7,143,106,"Infection and inflammatory reaction due to internal right knee prosthesis, initial encounter"
icd:9:57420,7,133,127,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
icd:9:78009,7,127,126,Other alteration of consciousness
icd:9:6824,7,119,118,"Cellulitis and abscess of hand, except fingers and thumb"
icd:9:34831,7,108,107,Metabolic encephalopathy
icd:10:I472,6,640,523,Ventricular tachycardia
icd:10:I671,6,577,493,"Cerebral aneurysm, nonruptured"
icd:10:I481,6,557,519,Persistent atrial fibrillation
icd:10:I442,6,535,532,"Atrioventricular block, complete"
icd:10:C7931,6,492,415,Secondary malignant neoplasm of brain
icd:10:M48062,6,466,456,"Spinal stenosis, lumbar region with neurogenic claudication"
icd:9:85221,6,464,456,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
icd:10:S065X0A,6,461,444,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter"
icd:10:I495,6,458,450,Sick sinus syndrome
icd:10:E1152,6,457,383,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
icd:10:I120,6,427,405,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
icd:10:T82868A,6,423,379,"Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter"
icd:10:K921,6,422,397,Melena
icd:10:K7290,6,405,322,"Hepatic failure, unspecified without coma"
icd:9:2767,6,395,334,Hyperpotassemia
icd:10:Q231,6,388,384,Congenital insufficiency of aortic valve
icd:10:K831,6,381,351,Obstruction of bile duct
icd:10:C9000,6,363,299,Multiple myeloma not having achieved remission
icd:10:I160,6,363,342,Hypertensive urgency
icd:9:40491,6,354,315,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
icd:10:I161,6,342,320,Hypertensive emergency
icd:9:42822,6,342,336,Chronic systolic heart failure
icd:10:I080,6,337,323,Rheumatic disorders of both mitral and aortic valves
icd:9:7213,6,330,317,Lumbosacral spondylosis without myelopathy
icd:9:5715,6,328,283,Cirrhosis of liver without mention of alcohol
icd:10:T827XXA,6,325,283,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter"
icd:9:41011,6,322,320,"Acute myocardial infarction of other anterior wall, initial episode of care"
icd:10:E11621,6,315,263,Type 2 diabetes mellitus with foot ulcer
icd:10:E1165,6,310,273,Type 2 diabetes mellitus with hyperglycemia
icd:10:C7951,6,302,279,Secondary malignant neoplasm of bone
icd:10:N401,6,301,290,Benign prostatic hyperplasia with lower urinary tract symptoms
icd:10:M4802,6,292,285,"Spinal stenosis, cervical region"
icd:9:25013,6,290,180,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
icd:9:3962,6,280,266,Mitral valve insufficiency and aortic valve stenosis
icd:10:C220,6,278,224,Liver cell carcinoma
icd:10:R109,6,275,257,Unspecified abdominal pain
icd:10:I441,6,273,271,"Atrioventricular block, second degree"
icd:10:K922,6,273,269,"Gastrointestinal hemorrhage, unspecified"
icd:10:K5731,6,272,248,Diverticulosis of large intestine without perforation or abscess with bleeding
icd:10:I4892,6,268,253,Unspecified atrial flutter
icd:9:40390,6,268,252,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
icd:10:I4819,6,262,250,Other persistent atrial fibrillation
icd:9:41041,6,259,256,"Acute myocardial infarction of other inferior wall, initial episode of care"
icd:10:S065X9A,6,256,252,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter"
icd:9:1890,6,252,248,"Malignant neoplasm of kidney, except pelvis"
icd:10:G893,6,250,206,Neoplasm related pain (acute) (chronic)
icd:10:D62,6,249,234,Acute posthemorrhagic anemia
icd:9:4321,6,248,228,Subdural hemorrhage
icd:10:E11649,6,244,228,Type 2 diabetes mellitus with hypoglycemia without coma
icd:10:S2241XA,6,244,244,"Multiple fractures of ribs, right side, initial encounter for closed fracture"
icd:10:I313,6,241,226,Pericardial effusion (noninflammatory)
icd:10:K5900,6,239,231,"Constipation, unspecified"
icd:10:E1122,6,236,218,Type 2 diabetes mellitus with diabetic chronic kidney disease
icd:10:R112,6,234,219,"Nausea with vomiting, unspecified"
icd:10:C541,6,229,212,Malignant neoplasm of endometrium
icd:9:5845,6,229,228,Acute kidney failure with lesion of tubular necrosis
icd:9:27801,6,224,223,Morbid obesity
icd:10:I712,6,223,215,"Thoracic aortic aneurysm, without rupture"
icd:9:7211,6,223,222,Cervical spondylosis with myelopathy
icd:10:I7101,6,221,211,Dissection of thoracic aorta
icd:10:D509,6,219,211,"Iron deficiency anemia, unspecified"
icd:9:2851,6,219,209,Acute posthemorrhagic anemia
icd:10:G40909,6,218,198,"Epilepsy, unspecified, not intractable, without status epilepticus"
icd:9:85201,6,218,218,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
icd:9:40291,6,216,199,Unspecified hypertensive heart disease with heart failure
icd:9:V560,6,216,210,Encounter for extracorporeal dialysis
icd:10:E860,6,215,212,Dehydration
icd:9:79092,6,214,202,Abnormal coagulation profile
icd:9:9961,6,213,190,"Mechanical complication of other vascular device, implant, and graft"
icd:9:5762,6,211,195,Obstruction of bile duct
icd:10:S066X0A,6,205,203,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter"
icd:9:1820,6,205,195,"Malignant neoplasm of corpus uteri, except isthmus"
icd:10:K8050,6,200,200,Calculus of bile duct without cholangitis or cholecystitis without obstruction
icd:9:99649,6,200,194,"Other mechanical complication of other internal orthopedic device, implant, and graft"
icd:10:C61,6,199,197,Malignant neoplasm of prostate
icd:10:J440,6,195,186,Chronic obstructive pulmonary disease with (acute) lower respiratory infection
icd:9:4010,6,193,190,Malignant essential hypertension
icd:10:A047,6,192,165,Enterocolitis due to Clostridium difficile
icd:10:R42,6,191,189,Dizziness and giddiness
icd:10:T83511A,6,191,163,"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter"
icd:9:042,6,191,167,Human immunodeficiency virus [HIV] disease
icd:10:K8051,6,189,182,Calculus of bile duct without cholangitis or cholecystitis with obstruction
icd:10:K432,6,188,179,Incisional hernia without obstruction or gangrene
icd:9:57450,6,188,183,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction"
icd:10:K9189,6,185,178,Other postprocedural complications and disorders of digestive system
icd:10:M4806,6,184,180,"Spinal stenosis, lumbar region"
icd:9:72403,6,184,180,"Spinal stenosis, lumbar region, with neurogenic claudication"
icd:9:43311,6,183,180,Occlusion and stenosis of carotid artery with cerebral infarction
icd:9:25002,6,181,180,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
icd:10:K31811,6,180,148,Angiodysplasia of stomach and duodenum with bleeding
icd:10:R791,6,177,146,Abnormal coagulation profile
icd:9:2809,6,177,171,"Iron deficiency anemia, unspecified"
icd:10:R001,6,175,174,"Bradycardia, unspecified"
icd:10:R569,6,175,172,Unspecified convulsions
icd:9:45342,6,175,173,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
icd:10:I6522,6,174,174,Occlusion and stenosis of left carotid artery
icd:9:193,6,172,160,Malignant neoplasm of thyroid gland
icd:9:5409,6,171,170,Acute appendicitis without mention of peritonitis
icd:10:J9622,6,170,147,Acute and chronic respiratory failure with hypercapnia
icd:9:5771,6,170,114,Chronic pancreatitis
icd:10:K8000,6,168,168,Calculus of gallbladder with acute cholecystitis without obstruction
icd:10:M48061,6,168,165,"Spinal stenosis, lumbar region without neurogenic claudication"
icd:10:D6832,6,167,167,Hemorrhagic disorder due to extrinsic circulating anticoagulants
icd:10:A4159,6,166,163,Other Gram-negative sepsis
icd:10:D709,6,164,155,"Neutropenia, unspecified"
icd:10:I6521,6,163,162,Occlusion and stenosis of right carotid artery
icd:10:R0600,6,163,160,"Dyspnea, unspecified"
icd:9:2800,6,163,153,Iron deficiency anemia secondary to blood loss (chronic)
icd:9:7847,6,163,153,Epistaxis
icd:9:1570,6,162,158,Malignant neoplasm of head of pancreas
icd:9:2252,6,162,152,Benign neoplasm of cerebral meninges
icd:10:K810,6,161,157,Acute cholecystitis
icd:9:99769,6,160,140,Other amputation stump complication
icd:10:I63411,6,159,158,Cerebral infarction due to embolism of right middle cerebral artery
icd:9:3383,6,158,135,Neoplasm related pain (acute) (chronic)
icd:9:20500,6,156,148,"Acute myeloid leukemia, without mention of having achieved remission"
icd:9:7210,6,156,150,Cervical spondylosis without myelopathy
icd:10:J101,6,155,155,Influenza due to other identified influenza virus with other respiratory manifestations
icd:9:7823,6,154,149,Edema
icd:10:N132,6,153,152,Hydronephrosis with renal and ureteral calculous obstruction
icd:9:53140,6,153,147,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
icd:9:41091,6,152,152,"Acute myocardial infarction of unspecified site, initial episode of care"
icd:10:A0472,6,151,149,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
icd:10:S72002A,6,151,151,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture"
icd:10:A4101,6,150,150,Sepsis due to Methicillin susceptible Staphylococcus aureus
icd:9:0090,6,150,148,"Infectious colitis, enteritis, and gastroenteritis"
icd:10:S066X9A,6,148,148,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter"
icd:9:56409,6,147,142,Other constipation
icd:10:R531,6,146,146,Weakness
icd:9:25040,6,145,140,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
icd:9:34830,6,145,145,"Encephalopathy, unspecified"
icd:9:4552,6,145,141,Internal hemorrhoids with other complication
icd:9:4168,6,143,132,Other chronic pulmonary heart diseases
icd:9:430,6,143,143,Subarachnoid hemorrhage
icd:9:4870,6,141,141,Influenza with pneumonia
icd:9:40301,6,139,76,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
icd:10:T82898A,6,137,136,"Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter"
icd:10:K254,6,136,133,Chronic or unspecified gastric ulcer with hemorrhage
icd:9:4210,6,135,130,Acute and subacute bacterial endocarditis
icd:10:I6389,6,134,132,Other cerebral infarction
icd:9:85220,6,130,123,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
icd:9:99932,6,130,116,Bloodstream infection due to central venous catheter
icd:9:5533,6,129,124,Diaphragmatic hernia without mention of obstruction or gangrene
icd:10:K430,6,128,122,"Incisional hernia with obstruction, without gangrene"
icd:10:K91840,6,128,126,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure
icd:9:82101,6,128,128,Closed fracture of shaft of femur
icd:10:T82897A,6,125,122,"Other specified complication of cardiac prosthetic devices, implants and grafts, initial encounter"
icd:10:I82412,6,124,117,Acute embolism and thrombosis of left femoral vein
icd:10:M7981,6,123,109,Nontraumatic hematoma of soft tissue
icd:9:9972,6,123,122,"Peripheral vascular complications, not elsewhere classified"
icd:10:K625,6,120,114,Hemorrhage of anus and rectum
icd:9:45829,6,117,116,Other iatrogenic hypotension
icd:9:71945,6,117,114,"Pain in joint, pelvic region and thigh"
icd:10:K5521,6,116,103,Angiodysplasia of colon with hemorrhage
icd:9:55221,6,116,113,Incisional ventral hernia with obstruction
icd:9:29281,6,115,114,Drug-induced delirium
icd:9:59971,6,114,114,Gross hematuria
icd:10:N136,6,113,108,Pyonephrosis
icd:10:D649,6,112,112,"Anemia, unspecified"
icd:9:73382,6,112,107,Nonunion of fracture
icd:9:79902,6,111,110,Hypoxemia
icd:10:C642,6,110,106,"Malignant neoplasm of left kidney, except renal pelvis"
icd:10:S270XXA,6,110,110,"Traumatic pneumothorax, initial encounter"
icd:10:M109,6,109,97,"Gout, unspecified"
icd:9:2113,6,109,107,Benign neoplasm of colon
icd:9:42830,6,109,105,"Diastolic heart failure, unspecified"
icd:9:82300,6,109,109,Closed fracture of upper end of tibia alone
icd:9:7837,6,104,101,Adult failure to thrive
icd:10:R040,6,103,97,Epistaxis
